office,district,candidate,party,reporting_level,jurisdiction,county,county_number,votes
US REPRESENTATIVE,5,,REP,precinct,City Of Orient Orient Union,Adair,01,138
US REPRESENTATIVE,5,,OTH,precinct,City Of Orient Orient Union,Adair,01,0
US REPRESENTATIVE,5,,SC,precinct,City Of Orient Orient Union,Adair,01,1
IOWA HOUSE,58,,DEM,precinct,City Of Orient Orient Union,Adair,01,101
IOWA HOUSE,58,,REP,precinct,City Of Orient Orient Union,Adair,01,202
IOWA HOUSE,58,,OTH,precinct,City Of Orient Orient Union,Adair,01,0
IOWA HOUSE,58,,SC,precinct,City Of Orient Orient Union,Adair,01,1
PRESIDENT,,,DEM,precinct,Stuart Lincoln Harrison Jefferson,Adair,01,228
PRESIDENT,,,REP,precinct,Stuart Lincoln Harrison Jefferson,Adair,01,263
PRESIDENT,,,OTH,precinct,Stuart Lincoln Harrison Jefferson,Adair,01,4
PRESIDENT,,,SC,precinct,Stuart Lincoln Harrison Jefferson,Adair,01,0
US SENATE,,,DEM,precinct,Stuart Lincoln Harrison Jefferson,Adair,01,97
US SENATE,,,REP,precinct,Stuart Lincoln Harrison Jefferson,Adair,01,389
US SENATE,,,OTH,precinct,Stuart Lincoln Harrison Jefferson,Adair,01,6
US SENATE,,,SC,precinct,Stuart Lincoln Harrison Jefferson,Adair,01,0
US REPRESENTATIVE,5,,DEM,precinct,Stuart Lincoln Harrison Jefferson,Adair,01,257
US REPRESENTATIVE,5,,REP,precinct,Stuart Lincoln Harrison Jefferson,Adair,01,206
US REPRESENTATIVE,5,,OTH,precinct,Stuart Lincoln Harrison Jefferson,Adair,01,0
US REPRESENTATIVE,5,,SC,precinct,Stuart Lincoln Harrison Jefferson,Adair,01,1
IOWA HOUSE,58,,DEM,precinct,Stuart Lincoln Harrison Jefferson,Adair,01,270
IOWA HOUSE,58,,REP,precinct,Stuart Lincoln Harrison Jefferson,Adair,01,218
IOWA HOUSE,58,,OTH,precinct,Stuart Lincoln Harrison Jefferson,Adair,01,0
IOWA HOUSE,58,,SC,precinct,Stuart Lincoln Harrison Jefferson,Adair,01,1
PRESIDENT,,,DEM,precinct,,Adair Total,,1844
PRESIDENT,,,REP,precinct,,Adair Total,,2402
PRESIDENT,,,OTH,precinct,,Adair Total,,24
PRESIDENT,,,SC,precinct,,Adair Total,,8
US SENATE,,,DEM,precinct,,Adair Total,,816
US SENATE,,,REP,precinct,,Adair Total,,3359
US SENATE,,,OTH,precinct,,Adair Total,,62
US SENATE,,,SC,precinct,,Adair Total,,2
US REPRESENTATIVE,,,DEM,precinct,,Adair Total,,1753
US REPRESENTATIVE,,,REP,precinct,,Adair Total,,2244
US REPRESENTATIVE,,,OTH,precinct,,Adair Total,,0
US REPRESENTATIVE,,,SC,precinct,,Adair Total,,5
IOWA SENATE,,,DEM,precinct,,Adair Total,,0
IOWA SENATE,,,REP,precinct,,Adair Total,,0
IOWA SENATE,,,OTH,precinct,,Adair Total,,0
IOWA SENATE,,,SC,precinct,,Adair Total,,0
IOWA HOUSE,,,DEM,precinct,,Adair Total,,1519
IOWA HOUSE,,,REP,precinct,,Adair Total,,2709
IOWA HOUSE,,,OTH,precinct,,Adair Total,,0
IOWA HOUSE,,,SC,precinct,,Adair Total,,4
PRESIDENT,,,DEM,precinct,Absentee and Special Ballots,Adams,02,235
PRESIDENT,,,REP,precinct,Absentee and Special Ballots,Adams,02,302
PRESIDENT,,,OTH,precinct,Absentee and Special Ballots,Adams,02,7
PRESIDENT,,,SC,precinct,Absentee and Special Ballots,Adams,02,1
US SENATE,,,DEM,precinct,Absentee and Special Ballots,Adams,02,136
US SENATE,,,REP,precinct,Absentee and Special Ballots,Adams,02,386
US SENATE,,,OTH,precinct,Absentee and Special Ballots,Adams,02,11
US SENATE,,,SC,precinct,Absentee and Special Ballots,Adams,02,0
US REPRESENTATIVE,,,DEM,precinct,Absentee and Special Ballots,Adams,02,229
US REPRESENTATIVE,,,REP,precinct,Absentee and Special Ballots,Adams,02,278
US REPRESENTATIVE,,,OTH,precinct,Absentee and Special Ballots,Adams,02,0
US REPRESENTATIVE,,,SC,precinct,Absentee and Special Ballots,Adams,02,0
IOWA SENATE,8,,DEM,precinct,Absentee and Special Ballots,Adams,02,245
IOWA SENATE,8,,REP,precinct,Absentee and Special Ballots,Adams,02,283
IOWA SENATE,8,,OTH,precinct,Absentee and Special Ballots,Adams,02,0
IOWA SENATE,8,,SC,precinct,Absentee and Special Ballots,Adams,02,0
IOWA HOUSE,96,,DEM,precinct,Absentee and Special Ballots,Adams,02,216
IOWA HOUSE,96,,REP,precinct,Absentee and Special Ballots,Adams,02,296
IOWA HOUSE,96,,OTH,precinct,Absentee and Special Ballots,Adams,02,0
IOWA HOUSE,96,,SC,precinct,Absentee and Special Ballots,Adams,02,0
PRESIDENT,,,DEM,precinct,SE Adams,Adams,02,132
PRESIDENT,,,REP,precinct,SE Adams,Adams,02,165
PRESIDENT,,,OTH,precinct,SE Adams,Adams,02,1
PRESIDENT,,,SC,precinct,SE Adams,Adams,02,1
US SENATE,,,DEM,precinct,SE Adams,Adams,02,51
US SENATE,,,REP,precinct,SE Adams,Adams,02,242
US SENATE,,,OTH,precinct,SE Adams,Adams,02,4
US SENATE,,,SC,precinct,SE Adams,Adams,02,0
US REPRESENTATIVE,,,DEM,precinct,SE Adams,Adams,02,133
US REPRESENTATIVE,,,REP,precinct,SE Adams,Adams,02,152
US REPRESENTATIVE,,,OTH,precinct,SE Adams,Adams,02,0
US REPRESENTATIVE,,,SC,precinct,SE Adams,Adams,02,0
IOWA SENATE,8,,DEM,precinct,SE Adams,Adams,02,153
IOWA SENATE,8,,REP,precinct,SE Adams,Adams,02,145
IOWA SENATE,8,,OTH,precinct,SE Adams,Adams,02,0
IOWA SENATE,8,,SC,precinct,SE Adams,Adams,02,0
IOWA HOUSE,96,,DEM,precinct,SE Adams,Adams,02,91
IOWA HOUSE,96,,REP,precinct,SE Adams,Adams,02,202
IOWA HOUSE,96,,OTH,precinct,SE Adams,Adams,02,0
IOWA HOUSE,96,,SC,precinct,SE Adams,Adams,02,0
PRESIDENT,,,DEM,precinct,Carbon,Adams,02,102
PRESIDENT,,,REP,precinct,Carbon,Adams,02,155
PRESIDENT,,,OTH,precinct,Carbon,Adams,02,2
PRESIDENT,,,SC,precinct,Carbon,Adams,02,1
US SENATE,,,DEM,precinct,Carbon,Adams,02,35
US SENATE,,,REP,precinct,Carbon,Adams,02,214
US SENATE,,,OTH,precinct,Carbon,Adams,02,8
US SENATE,,,SC,precinct,Carbon,Adams,02,0
US REPRESENTATIVE,,,DEM,precinct,Carbon,Adams,02,102
US REPRESENTATIVE,,,REP,precinct,Carbon,Adams,02,136
US REPRESENTATIVE,,,OTH,precinct,Carbon,Adams,02,0
US REPRESENTATIVE,,,SC,precinct,Carbon,Adams,02,0
IOWA SENATE,8,,DEM,precinct,Carbon,Adams,02,110
IOWA SENATE,8,,REP,precinct,Carbon,Adams,02,148
IOWA SENATE,8,,OTH,precinct,Carbon,Adams,02,0
IOWA SENATE,8,,SC,precinct,Carbon,Adams,02,0
IOWA HOUSE,96,,DEM,precinct,Carbon,Adams,02,91
IOWA HOUSE,96,,REP,precinct,Carbon,Adams,02,147
IOWA HOUSE,96,,OTH,precinct,Carbon,Adams,02,0
IOWA HOUSE,96,,SC,precinct,Carbon,Adams,02,0
PRESIDENT,,,DEM,precinct,Corning 1A,Adams,02,65
PRESIDENT,,,REP,precinct,Corning 1A,Adams,02,100
PRESIDENT,,,OTH,precinct,Corning 1A,Adams,02,2
PRESIDENT,,,SC,precinct,Corning 1A,Adams,02,0
US SENATE,,,DEM,precinct,Corning 1A,Adams,02,26
US SENATE,,,REP,precinct,Corning 1A,Adams,02,139
US SENATE,,,OTH,precinct,Corning 1A,Adams,02,1
US SENATE,,,SC,precinct,Corning 1A,Adams,02,0
US REPRESENTATIVE,,,DEM,precinct,Corning 1A,Adams,02,72
US REPRESENTATIVE,,,REP,precinct,Corning 1A,Adams,02,88
US REPRESENTATIVE,,,OTH,precinct,Corning 1A,Adams,02,0
US REPRESENTATIVE,,,SC,precinct,Corning 1A,Adams,02,0
IOWA SENATE,8,,DEM,precinct,Corning 1A,Adams,02,90
IOWA SENATE,8,,REP,precinct,Corning 1A,Adams,02,74
IOWA SENATE,8,,OTH,precinct,Corning 1A,Adams,02,0
IOWA SENATE,8,,SC,precinct,Corning 1A,Adams,02,0
IOWA HOUSE,96,,DEM,precinct,Corning 1A,Adams,02,66
IOWA HOUSE,96,,REP,precinct,Corning 1A,Adams,02,94
IOWA HOUSE,96,,OTH,precinct,Corning 1A,Adams,02,0
IOWA HOUSE,96,,SC,precinct,Corning 1A,Adams,02,0
PRESIDENT,,,DEM,precinct,Corning 2A,Adams,02,40
PRESIDENT,,,REP,precinct,Corning 2A,Adams,02,60
PRESIDENT,,,OTH,precinct,Corning 2A,Adams,02,1
PRESIDENT,,,SC,precinct,Corning 2A,Adams,02,0
US SENATE,,,DEM,precinct,Corning 2A,Adams,02,12
US SENATE,,,REP,precinct,Corning 2A,Adams,02,86
US SENATE,,,OTH,precinct,Corning 2A,Adams,02,1
US SENATE,,,SC,precinct,Corning 2A,Adams,02,0
US REPRESENTATIVE,,,DEM,precinct,Corning 2A,Adams,02,40
US REPRESENTATIVE,,,REP,precinct,Corning 2A,Adams,02,58
US REPRESENTATIVE,,,OTH,precinct,Corning 2A,Adams,02,0
US REPRESENTATIVE,,,SC,precinct,Corning 2A,Adams,02,0
IOWA SENATE,8,,DEM,precinct,Corning 2A,Adams,02,54
IOWA SENATE,8,,REP,precinct,Corning 2A,Adams,02,48
IOWA SENATE,8,,OTH,precinct,Corning 2A,Adams,02,0
IOWA SENATE,8,,SC,precinct,Corning 2A,Adams,02,0
IOWA HOUSE,96,,DEM,precinct,Corning 2A,Adams,02,36
IOWA HOUSE,96,,REP,precinct,Corning 2A,Adams,02,65
IOWA HOUSE,96,,OTH,precinct,Corning 2A,Adams,02,0
IOWA HOUSE,96,,SC,precinct,Corning 2A,Adams,02,0
PRESIDENT,,,DEM,precinct,Corning 3A,Adams,02,37
PRESIDENT,,,REP,precinct,Corning 3A,Adams,02,58
PRESIDENT,,,OTH,precinct,Corning 3A,Adams,02,2
PRESIDENT,,,SC,precinct,Corning 3A,Adams,02,0
US SENATE,,,DEM,precinct,Corning 3A,Adams,02,11
US SENATE,,,REP,precinct,Corning 3A,Adams,02,84
US SENATE,,,OTH,precinct,Corning 3A,Adams,02,2
US SENATE,,,SC,precinct,Corning 3A,Adams,02,0
US REPRESENTATIVE,,,DEM,precinct,Corning 3A,Adams,02,41
US REPRESENTATIVE,,,REP,precinct,Corning 3A,Adams,02,53
US REPRESENTATIVE,,,OTH,precinct,Corning 3A,Adams,02,0
US REPRESENTATIVE,,,SC,precinct,Corning 3A,Adams,02,0
IOWA SENATE,8,,DEM,precinct,Corning 3A,Adams,02,47
IOWA SENATE,8,,REP,precinct,Corning 3A,Adams,02,50
IOWA SENATE,8,,OTH,precinct,Corning 3A,Adams,02,0
IOWA SENATE,8,,SC,precinct,Corning 3A,Adams,02,0
IOWA HOUSE,96,,DEM,precinct,Corning 3A,Adams,02,42
IOWA HOUSE,96,,REP,precinct,Corning 3A,Adams,02,52
IOWA HOUSE,96,,OTH,precinct,Corning 3A,Adams,02,0
IOWA HOUSE,96,,SC,precinct,Corning 3A,Adams,02,0
PRESIDENT,,,DEM,precinct,Corning 1B,Adams,02,27
PRESIDENT,,,REP,precinct,Corning 1B,Adams,02,29
PRESIDENT,,,OTH,precinct,Corning 1B,Adams,02,0
PRESIDENT,,,SC,precinct,Corning 1B,Adams,02,0
US SENATE,,,DEM,precinct,Corning 1B,Adams,02,11
US SENATE,,,REP,precinct,Corning 1B,Adams,02,45
US SENATE,,,OTH,precinct,Corning 1B,Adams,02,2
US SENATE,,,SC,precinct,Corning 1B,Adams,02,0
US REPRESENTATIVE,,,DEM,precinct,Corning 1B,Adams,02,25
US REPRESENTATIVE,,,REP,precinct,Corning 1B,Adams,02,31
US REPRESENTATIVE,,,OTH,precinct,Corning 1B,Adams,02,0
US REPRESENTATIVE,,,SC,precinct,Corning 1B,Adams,02,0
IOWA SENATE,8,,DEM,precinct,Corning 1B,Adams,02,27
IOWA SENATE,8,,REP,precinct,Corning 1B,Adams,02,31
IOWA SENATE,8,,OTH,precinct,Corning 1B,Adams,02,0
IOWA SENATE,8,,SC,precinct,Corning 1B,Adams,02,0
IOWA HOUSE,96,,DEM,precinct,Corning 1B,Adams,02,23
IOWA HOUSE,96,,REP,precinct,Corning 1B,Adams,02,33
IOWA HOUSE,96,,OTH,precinct,Corning 1B,Adams,02,0
IOWA HOUSE,96,,SC,precinct,Corning 1B,Adams,02,0
PRESIDENT,,,DEM,precinct,Corning 2B,Adams,02,64
PRESIDENT,,,REP,precinct,Corning 2B,Adams,02,70
PRESIDENT,,,OTH,precinct,Corning 2B,Adams,02,2
PRESIDENT,,,SC,precinct,Corning 2B,Adams,02,0
US SENATE,,,DEM,precinct,Corning 2B,Adams,02,24
US SENATE,,,REP,precinct,Corning 2B,Adams,02,106
US SENATE,,,OTH,precinct,Corning 2B,Adams,02,3
US SENATE,,,SC,precinct,Corning 2B,Adams,02,0
US REPRESENTATIVE,,,DEM,precinct,Corning 2B,Adams,02,62
US REPRESENTATIVE,,,REP,precinct,Corning 2B,Adams,02,69
US REPRESENTATIVE,,,OTH,precinct,Corning 2B,Adams,02,0
US REPRESENTATIVE,,,SC,precinct,Corning 2B,Adams,02,0
IOWA SENATE,8,,DEM,precinct,Corning 2B,Adams,02,69
IOWA SENATE,8,,REP,precinct,Corning 2B,Adams,02,64
IOWA SENATE,8,,OTH,precinct,Corning 2B,Adams,02,0
IOWA SENATE,8,,SC,precinct,Corning 2B,Adams,02,0
IOWA HOUSE,96,,DEM,precinct,Corning 2B,Adams,02,52
IOWA HOUSE,96,,REP,precinct,Corning 2B,Adams,02,76
IOWA HOUSE,96,,OTH,precinct,Corning 2B,Adams,02,0
IOWA HOUSE,96,,SC,precinct,Corning 2B,Adams,02,0
PRESIDENT,,,DEM,precinct,Corning 3B,Adams,02,53
PRESIDENT,,,REP,precinct,Corning 3B,Adams,02,75
PRESIDENT,,,OTH,precinct,Corning 3B,Adams,02,1
PRESIDENT,,,SC,precinct,Corning 3B,Adams,02,0
US SENATE,,,DEM,precinct,Corning 3B,Adams,02,17
US SENATE,,,REP,precinct,Corning 3B,Adams,02,108
US SENATE,,,OTH,precinct,Corning 3B,Adams,02,1
US SENATE,,,SC,precinct,Corning 3B,Adams,02,0
US REPRESENTATIVE,,,DEM,precinct,Corning 3B,Adams,02,52
US REPRESENTATIVE,,,REP,precinct,Corning 3B,Adams,02,72
US REPRESENTATIVE,,,OTH,precinct,Corning 3B,Adams,02,0
US REPRESENTATIVE,,,SC,precinct,Corning 3B,Adams,02,0
IOWA SENATE,8,,DEM,precinct,Corning 3B,Adams,02,50
IOWA SENATE,8,,REP,precinct,Corning 3B,Adams,02,79
IOWA SENATE,8,,OTH,precinct,Corning 3B,Adams,02,0
IOWA SENATE,8,,SC,precinct,Corning 3B,Adams,02,0
IOWA HOUSE,96,,DEM,precinct,Corning 3B,Adams,02,39
IOWA HOUSE,96,,REP,precinct,Corning 3B,Adams,02,90
IOWA HOUSE,96,,OTH,precinct,Corning 3B,Adams,02,0
IOWA HOUSE,96,,SC,precinct,Corning 3B,Adams,02,0
PRESIDENT,,,DEM,precinct,Nodaway,Adams,02,51
PRESIDENT,,,REP,precinct,Nodaway,Adams,02,83
PRESIDENT,,,OTH,precinct,Nodaway,Adams,02,3
PRESIDENT,,,SC,precinct,Nodaway,Adams,02,0
US SENATE,,,DEM,precinct,Nodaway,Adams,02,13
US SENATE,,,REP,precinct,Nodaway,Adams,02,117
US SENATE,,,OTH,precinct,Nodaway,Adams,02,3
US SENATE,,,SC,precinct,Nodaway,Adams,02,0
US REPRESENTATIVE,,,DEM,precinct,Nodaway,Adams,02,41
US REPRESENTATIVE,,,REP,precinct,Nodaway,Adams,02,86
US REPRESENTATIVE,,,OTH,precinct,Nodaway,Adams,02,0
US REPRESENTATIVE,,,SC,precinct,Nodaway,Adams,02,0
IOWA SENATE,8,,DEM,precinct,Nodaway,Adams,02,54
IOWA SENATE,8,,REP,precinct,Nodaway,Adams,02,83
