county,precinct,office,district,party,candidate,votes,av_counting_board,election_day
Adair,3SW,Governor,,DEM,John Norris,9,0,9
Adair,4SE,Governor,,DEM,John Norris,9,0,9
Adair,5GF,Governor,,DEM,John Norris,47,0,47
Adair,1NW,Governor,,DEM,Ross Wilburn,0,0,0
Adair,2NE,Governor,,DEM,Ross Wilburn,0,0,0
Adair,3SW,Governor,,DEM,Ross Wilburn,1,0,1
Adair,4SE,Governor,,DEM,Ross Wilburn,1,0,1
Adair,5GF,Governor,,DEM,Ross Wilburn,1,0,1
Adair,1NW,Governor,,LIB,Marco Battaglia,0,0,0
Adair,2NE,Governor,,LIB,Marco Battaglia,1,0,1
Adair,3SW,Governor,,LIB,Marco Battaglia,0,0,0
Adair,4SE,Governor,,LIB,Marco Battaglia,1,0,1
Adair,5GF,Governor,,LIB,Marco Battaglia,0,0,0
Adair,1NW,Governor,,LIB,Jake Porter,0,0,0
Adair,2NE,Governor,,LIB,Jake Porter,2,0,2
Adair,3SW,Governor,,LIB,Jake Porter,0,0,0
Adair,4SE,Governor,,LIB,Jake Porter,1,0,1
Adair,5GF,Governor,,LIB,Jake Porter,2,0,2
Adair,1NW,Secretary of State,,REP,Paul D. Pate,113,0,113
Adair,2NE,Secretary of State,,REP,Paul D. Pate,71,0,71
Adair,3SW,Secretary of State,,REP,Paul D. Pate,105,0,105
Adair,4SE,Secretary of State,,REP,Paul D. Pate,112,0,112
Adair,5GF,Secretary of State,,REP,Paul D. Pate,146,0,146
Adair,1NW,Secretary of State,,,Write-in,0,0,0
Adair,2NE,Secretary of State,,,Write-in,1,0,1
Adair,3SW,Secretary of State,,,Write-in,0,0,0
Adair,4SE,Secretary of State,,,Write-in,0,0,0
Adair,5GF,Secretary of State,,,Write-in,0,0,0
Adair,1NW,Secretary of State,,DEM,Deidre DeJear,14,0,14
Adair,2NE,Secretary of State,,DEM,Deidre DeJear,22,0,22
Adair,3SW,Secretary of State,,DEM,Deidre DeJear,11,0,11
Adair,4SE,Secretary of State,,DEM,Deidre DeJear,22,0,22
Adair,5GF,Secretary of State,,DEM,Deidre DeJear,37,0,37
Adair,1NW,Secretary of State,,DEM,Jim Mowrer,39,0,39
Adair,2NE,Secretary of State,,DEM,Jim Mowrer,50,0,50
Adair,3SW,Secretary of State,,DEM,Jim Mowrer,44,0,44
Adair,4SE,Secretary of State,,DEM,Jim Mowrer,33,0,33
Adair,5GF,Secretary of State,,DEM,Jim Mowrer,59,0,59
Adair,1NW,Auditor of State,,REP,Mary Mosiman,107,0,107
Adair,2NE,Auditor of State,,REP,Mary Mosiman,66,0,66
Adair,3SW,Auditor of State,,REP,Mary Mosiman,100,0,100
Adair,4SE,Auditor of State,,REP,Mary Mosiman,114,0,114
Adair,5GF,Auditor of State,,REP,Mary Mosiman,145,0,145
Adair,1NW,Auditor of State,,,Write-in,0,0,0
Adair,2NE,Auditor of State,,,Write-in,1,0,1
Adair,3SW,Auditor of State,,,Write-in,0,0,0
Adair,4SE,Auditor of State,,,Write-in,0,0,0
Adair,5GF,Auditor of State,,,Write-in,0,0,0
Adair,1NW,Auditor of State,,DEM,Rob Sand,45,0,45
Adair,2NE,Auditor of State,,DEM,Rob Sand,64,0,64
Adair,3SW,Auditor of State,,DEM,Rob Sand,48,0,48
Adair,4SE,Auditor of State,,DEM,Rob Sand,46,0,46
Adair,5GF,Auditor of State,,DEM,Rob Sand,80,0,80
Adair,1NW,Treasurer of State,,,Write-in,0,0,0
Adair,2NE,Treasurer of State,,,Write-in,2,0,2
Adair,3SW,Treasurer of State,,,Write-in,0,0,0
Adair,4SE,Treasurer of State,,,Write-in,0,0,0
Adair,5GF,Treasurer of State,,,Write-in,0,0,0
Adair,1NW,Treasurer of State,,DEM,Michael L. Fitzgerald,51,0,51
Adair,2NE,Treasurer of State,,DEM,Michael L. Fitzgerald,65,0,65
Adair,3SW,Treasurer of State,,DEM,Michael L. Fitzgerald,55,0,55
Adair,4SE,Treasurer of State,,DEM,Michael L. Fitzgerald,51,0,51
Adair,5GF,Treasurer of State,,DEM,Michael L. Fitzgerald,94,0,94
Adair,1NW,Secretary of Agriculture,,REP,Ray Gaesser,36,0,36
Adair,2NE,Secretary of Agriculture,,REP,Ray Gaesser,30,0,30
Adair,3SW,Secretary of Agriculture,,REP,Ray Gaesser,34,0,34
Adair,4SE,Secretary of Agriculture,,REP,Ray Gaesser,55,0,55
Adair,5GF,Secretary of Agriculture,,REP,Ray Gaesser,51,0,51
Adair,1NW,Secretary of Agriculture,,REP,Chad Ingels,3,0,3
Adair,2NE,Secretary of Agriculture,,REP,Chad Ingels,5,0,5
Adair,3SW,Secretary of Agriculture,,REP,Chad Ingels,7,0,7
Adair,4SE,Secretary of Agriculture,,REP,Chad Ingels,7,0,7
Adair,5GF,Secretary of Agriculture,,REP,Chad Ingels,7,0,7
Adair,1NW,Secretary of Agriculture,,REP,Craig Lang,21,0,21
Adair,2NE,Secretary of Agriculture,,REP,Craig Lang,13,0,13
Adair,3SW,Secretary of Agriculture,,REP,Craig Lang,23,0,23
Adair,4SE,Secretary of Agriculture,,REP,Craig Lang,7,0,7
Adair,5GF,Secretary of Agriculture,,REP,Craig Lang,25,0,25
Adair,1NW,Secretary of Agriculture,,REP,Mike Naig,33,0,33
Adair,2NE,Secretary of Agriculture,,REP,Mike Naig,18,0,18
Adair,3SW,Secretary of Agriculture,,REP,Mike Naig,26,0,26
Adair,4SE,Secretary of Agriculture,,REP,Mike Naig,30,0,30
Adair,5GF,Secretary of Agriculture,,REP,Mike Naig,38,0,38
Adair,1NW,Secretary of Agriculture,,REP,Dan Zumbach,22,0,22
Adair,2NE,Secretary of Agriculture,,REP,Dan Zumbach,9,0,9
Adair,3SW,Secretary of Agriculture,,REP,Dan Zumbach,18,0,18
Adair,4SE,Secretary of Agriculture,,REP,Dan Zumbach,11,0,11
Adair,5GF,Secretary of Agriculture,,REP,Dan Zumbach,22,0,22
Adair,1NW,Secretary of Agriculture,,,Write-in,0,0,0
Adair,2NE,Secretary of Agriculture,,,Write-in,2,0,2
Adair,3SW,Secretary of Agriculture,,,Write-in,0,0,0
Adair,4SE,Secretary of Agriculture,,,Write-in,0,0,0
Adair,5GF,Secretary of Agriculture,,,Write-in,0,0,0
Adair,1NW,Secretary of Agriculture,,DEM,Tim Gannon,49,0,49
Adair,2NE,Secretary of Agriculture,,DEM,Tim Gannon,60,0,60
Adair,3SW,Secretary of Agriculture,,DEM,Tim Gannon,52,0,52
Adair,4SE,Secretary of Agriculture,,DEM,Tim Gannon,48,0,48
Adair,5GF,Secretary of Agriculture,,DEM,Tim Gannon,89,0,89
Adair,1NW,Attorney General,,,Write-in,0,0,0
Adair,2NE,Attorney General,,,Write-in,2,0,2
Adair,3SW,Attorney General,,,Write-in,0,0,0
Adair,4SE,Attorney General,,,Write-in,0,0,0
Adair,5GF,Attorney General,,,Write-in,0,0,0
Adair,1NW,Attorney General,,DEM,Tom Miller,52,0,52
Adair,2NE,Attorney General,,DEM,Tom Miller,66,0,66
Adair,3SW,Attorney General,,DEM,Tom Miller,55,0,55
Adair,4SE,Attorney General,,DEM,Tom Miller,52,0,52
Adair,5GF,Attorney General,,DEM,Tom Miller,95,0,95
Adair,1NW,State Representative District 20,,REP,Dodge Michael Perrigo,12,0,12
Adair,2NE,State Representative District 20,,REP,Dodge Michael Perrigo,10,0,10
Adair,3SW,State Representative District 20,,REP,Dodge Michael Perrigo,13,0,13
Adair,4SE,State Representative District 20,,REP,Dodge Michael Perrigo,13,0,13
Adair,5GF,State Representative District 20,,REP,Dodge Michael Perrigo,20,0,20
Adair,1NW,State Representative District 20,,REP,Ray Bubba Sorensen,108,0,108
Adair,2NE,State Representative District 20,,REP,Ray Bubba Sorensen,71,0,71
Adair,3SW,State Representative District 20,,REP,Ray Bubba Sorensen,107,0,107
Adair,4SE,State Representative District 20,,REP,Ray Bubba Sorensen,109,0,109
Adair,5GF,State Representative District 20,,REP,Ray Bubba Sorensen,158,0,158
Adair,1NW,State Representative District 20,,,Write-in,0,0,0
Adair,2NE,State Representative District 20,,,Write-in,1,0,1
Adair,3SW,State Representative District 20,,,Write-in,0,0,0
Adair,4SE,State Representative District 20,,,Write-in,0,0,0
Adair,5GF,State Representative District 20,,,Write-in,0,0,0
Adair,1NW,State Representative District 20,,DEM,Warren Varley,50,0,50
Adair,2NE,State Representative District 20,,DEM,Warren Varley,63,0,63
Adair,3SW,State Representative District 20,,DEM,Warren Varley,52,0,52
Adair,4SE,State Representative District 20,,DEM,Warren Varley,46,0,46
Adair,5GF,State Representative District 20,,DEM,Warren Varley,92,0,92
Adair,2NE,County Board of Supervisors District 2,,,Write-in,0,0,0
Adair,2NE,County Board of Supervisors District 2,,DEM,Steven Shelley,62,0,62
Adair,4SE,County Board of Supervisors District 4,,,Write-in,0,0,0
Adair,4SE,County Board of Supervisors District 4,,DEM,Jodie Jean Hoadley,52,0,52
Adair,1NW,County Treasurer,,REP,Kim Crosswhite Perkins,15,0,15
Adair,2NE,County Treasurer,,REP,Kim Crosswhite Perkins,15,0,15
Adair,3SW,County Treasurer,,REP,Kim Crosswhite Perkins,20,0,20
Adair,4SE,County Treasurer,,REP,Kim Crosswhite Perkins,19,0,19
Adair,5GF,County Treasurer,,REP,Kim Crosswhite Perkins,39,0,39
Adair,1NW,County Treasurer,,REP,Brenda L. Wallace,106,0,106
Adair,2NE,County Treasurer,,REP,Brenda L. Wallace,69,0,69
Adair,3SW,County Treasurer,,REP,Brenda L. Wallace,104,0,104
Adair,4SE,County Treasurer,,REP,Brenda L. Wallace,112,0,112
Adair,5GF,County Treasurer,,REP,Brenda L. Wallace,143,0,143
Adair,1NW,County Treasurer,,,Write-in,0,0,0
Adair,2NE,County Treasurer,,,Write-in,0,0,0
Adair,3SW,County Treasurer,,,Write-in,0,0,0
Adair,4SE,County Treasurer,,,Write-in,0,0,0
Adair,5GF,County Treasurer,,,Write-in,1,0,1
Adair,1NW,County Recorder,,REP,Janelle Schneider,112,0,112
Adair,2NE,County Recorder,,REP,Janelle Schneider,76,0,76
Adair,3SW,County Recorder,,REP,Janelle Schneider,119,0,119
Adair,4SE,County Recorder,,REP,Janelle Schneider,122,0,122
Adair,5GF,County Recorder,,REP,Janelle Schneider,170,0,170
Adair,1NW,County Recorder,,,Write-in,0,0,0
Adair,2NE,County Recorder,,,Write-in,0,0,0
Adair,3SW,County Recorder,,,Write-in,0,0,0
Adair,4SE,County Recorder,,,Write-in,0,0,0
Adair,5GF,County Recorder,,,Write-in,0,0,0
Adair,1NW,County Attorney,,REP,Clint Hight,108,0,108
Adair,2NE,County Attorney,,REP,Clint Hight,67,0,67
Adair,3SW,County Attorney,,REP,Clint Hight,108,0,108
Adair,4SE,County Attorney,,REP,Clint Hight,109,0,109
Adair,5GF,County Attorney,,REP,Clint Hight,166,0,166
Adair,1NW,County Attorney,,,Write-in,0,0,0
Adair,2NE,County Attorney,,,Write-in,0,0,0
Adair,3SW,County Attorney,,,Write-in,0,0,0
Adair,4SE,County Attorney,,,Write-in,0,0,0
Adair,5GF,County Attorney,,,Write-in,0,0,0
