office,candidate,party,county,votes
President/Vice President,Jill Stein / Ajamu Baraka,Green,Boone,104
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Boone,6
President/Vice President,Donald Trump / Mike Pence,Republican,Boone,7484
President/Vice President,Total,,Boone,14310
President/Vice President,Write-In,,Boone,162
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Boone,22
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Boone,20
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Bremer,88
President/Vice President,Under Votes,,Bremer,133
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Bremer,543
President/Vice President,Over Votes,,Bremer,20
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Bremer,1
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Bremer,54
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Bremer,5356
President/Vice President,Jill Stein / Ajamu Baraka,Green,Bremer,81
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Bremer,5
President/Vice President,Donald Trump / Mike Pence,Republican,Bremer,7208
President/Vice President,Total,,Bremer,13691
President/Vice President,Write-In,,Bremer,171
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Bremer,10
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Bremer,21
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Buchanan,48
President/Vice President,Under Votes,,Buchanan,97
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Buchanan,478
President/Vice President,Over Votes,,Buchanan,28
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Buchanan,1
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Buchanan,58
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Buchanan,3970
President/Vice President,Jill Stein / Ajamu Baraka,Green,Buchanan,54
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Buchanan,2
President/Vice President,Donald Trump / Mike Pence,Republican,Buchanan,5510
President/Vice President,Total,,Buchanan,10377
President/Vice President,Write-In,,Buchanan,105
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Buchanan,17
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Buchanan,9
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Buena Vista,58
President/Vice President,Under Votes,,Buena Vista,77
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Buena Vista,288
President/Vice President,Over Votes,,Buena Vista,26
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Buena Vista,0
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Buena Vista,23
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Buena Vista,2856
President/Vice President,Jill Stein / Ajamu Baraka,Green,Buena Vista,48
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Buena Vista,1
President/Vice President,Donald Trump / Mike Pence,Republican,Buena Vista,4903
President/Vice President,Total,,Buena Vista,8381
President/Vice President,Write-In,,Buena Vista,84
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Buena Vista,13
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Buena Vista,4
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Butler,50
President/Vice President,Under Votes,,Butler,61
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Butler,219
President/Vice President,Over Votes,,Butler,9
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Butler,0
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Butler,47
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Butler,2157
President/Vice President,Jill Stein / Ajamu Baraka,Green,Butler,43
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Butler,3
President/Vice President,Donald Trump / Mike Pence,Republican,Butler,4921
President/Vice President,Total,,Butler,7583
President/Vice President,Write-In,,Butler,57
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Butler,5
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Butler,11
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Calhoun,17
President/Vice President,Under Votes,,Calhoun,52
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Calhoun,173
President/Vice President,Over Votes,,Calhoun,7
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Calhoun,1
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Calhoun,29
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Calhoun,1398
President/Vice President,Jill Stein / Ajamu Baraka,Green,Calhoun,18
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Calhoun,0
President/Vice President,Donald Trump / Mike Pence,Republican,Calhoun,3468
President/Vice President,Total,,Calhoun,5218
President/Vice President,Write-In,,Calhoun,49
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Calhoun,4
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Calhoun,2
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Carroll,54
President/Vice President,Under Votes,,Carroll,125
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Carroll,318
President/Vice President,Over Votes,,Carroll,13
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Carroll,0
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Carroll,41
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Carroll,3309
President/Vice President,Jill Stein / Ajamu Baraka,Green,Carroll,61
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Carroll,1
President/Vice President,Donald Trump / Mike Pence,Republican,Carroll,6638
President/Vice President,Total,,Carroll,10682
President/Vice President,Write-In,,Carroll,90
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Carroll,19
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Carroll,13
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Cass,51
President/Vice President,Under Votes,,Cass,59
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Cass,206
President/Vice President,Over Votes,,Cass,14
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Cass,1
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Cass,25
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Cass,1951
President/Vice President,Jill Stein / Ajamu Baraka,Green,Cass,52
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Cass,0
President/Vice President,Donald Trump / Mike Pence,Republican,Cass,4761
President/Vice President,Total,,Cass,7198
President/Vice President,Write-In,,Cass,57
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Cass,13
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Cass,8
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Cedar,38
President/Vice President,Under Votes,,Cedar,80
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Cedar,365
President/Vice President,Over Votes,,Cedar,10
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Cedar,0
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Cedar,35
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Cedar,3599
President/Vice President,Jill Stein / Ajamu Baraka,Green,Cedar,70
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Cedar,2
President/Vice President,Donald Trump / Mike Pence,Republican,Cedar,5295
President/Vice President,Total,,Cedar,9631
President/Vice President,Write-In,,Cedar,111
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Cedar,10
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Cedar,16
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Cerro Gordo,145
President/Vice President,Under Votes,,Cerro Gordo,141
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Cerro Gordo,851
President/Vice President,Over Votes,,Cerro Gordo,31
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Cerro Gordo,2
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Cerro Gordo,26
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Cerro Gordo,9862
President/Vice President,Jill Stein / Ajamu Baraka,Green,Cerro Gordo,130
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Cerro Gordo,8
President/Vice President,Donald Trump / Mike Pence,Republican,Cerro Gordo,11621
President/Vice President,Total,,Cerro Gordo,23137
President/Vice President,Write-In,,Cerro Gordo,256
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Cerro Gordo,43
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Cerro Gordo,21
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Cherokee,41
President/Vice President,Under Votes,,Cherokee,49
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Cherokee,206
President/Vice President,Over Votes,,Cherokee,8
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Cherokee,0
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Cherokee,29
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Cherokee,1679
President/Vice President,Jill Stein / Ajamu Baraka,Green,Cherokee,29
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Cherokee,1
President/Vice President,Donald Trump / Mike Pence,Republican,Cherokee,4192
President/Vice President,Total,,Cherokee,6315
President/Vice President,Write-In,,Cherokee,65
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Cherokee,9
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Cherokee,7
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Chickasaw,28
President/Vice President,Under Votes,,Chickasaw,75
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Chickasaw,236
President/Vice President,Over Votes,,Chickasaw,8
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Chickasaw,3
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Chickasaw,33
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Chickasaw,2266
President/Vice President,Jill Stein / Ajamu Baraka,Green,Chickasaw,48
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Chickasaw,1
President/Vice President,Donald Trump / Mike Pence,Republican,Chickasaw,3742
President/Vice President,Total,,Chickasaw,6518
President/Vice President,Write-In,,Chickasaw,63
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Chickasaw,10
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Chickasaw,5
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Clarke,20
President/Vice President,Under Votes,,Clarke,51
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Clarke,160
President/Vice President,Over Votes,,Clarke,4
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Clarke,0
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Clarke,26
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Clarke,1465
President/Vice President,Jill Stein / Ajamu Baraka,Green,Clarke,18
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Clarke,0
President/Vice President,Donald Trump / Mike Pence,Republican,Clarke,2713
President/Vice President,Total,,Clarke,4509
President/Vice President,Write-In,,Clarke,39
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Clarke,9
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Clarke,4
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Clay,58
President/Vice President,Under Votes,,Clay,74
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Clay,288
President/Vice President,Over Votes,,Clay,15
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Clay,1
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Clay,25
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Clay,2249
President/Vice President,Jill Stein / Ajamu Baraka,Green,Clay,35
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Clay,2
President/Vice President,Donald Trump / Mike Pence,Republican,Clay,5877
President/Vice President,Total,,Clay,8706
President/Vice President,Write-In,,Clay,63
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Clay,13
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Clay,6
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Clayton,47
President/Vice President,Under Votes,,Clayton,75
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Clayton,334
President/Vice President,Over Votes,,Clayton,13
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Clayton,1
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Clayton,16
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Clayton,3237
President/Vice President,Jill Stein / Ajamu Baraka,Green,Clayton,51
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Clayton,3
President/Vice President,Donald Trump / Mike Pence,Republican,Clayton,5317
President/Vice President,Total,,Clayton,9217
President/Vice President,Write-In,,Clayton,70
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Clayton,30
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Clayton,23
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Clinton,135
President/Vice President,Under Votes,,Clinton,183
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Clinton,825
President/Vice President,Over Votes,,Clinton,97
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Clinton,6
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Clinton,105
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Clinton,10095
President/Vice President,Jill Stein / Ajamu Baraka,Green,Clinton,184
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Clinton,5
President/Vice President,Donald Trump / Mike Pence,Republican,Clinton,11276
President/Vice President,Total,,Clinton,23347
President/Vice President,Write-In,,Clinton,267
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Clinton,66
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Clinton,103
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Crawford,19
President/Vice President,Under Votes,,Crawford,74
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Crawford,172
President/Vice President,Over Votes,,Crawford,28
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Crawford,2
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Crawford,25
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Crawford,1991
President/Vice President,Jill Stein / Ajamu Baraka,Green,Crawford,33
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Crawford,6
President/Vice President,Donald Trump / Mike Pence,Republican,Crawford,4617
President/Vice President,Total,,Crawford,7037
President/Vice President,Write-In,,Crawford,57
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Crawford,7
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Crawford,6
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Dallas,519
President/Vice President,Under Votes,,Dallas,289
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Dallas,1757
President/Vice President,Over Votes,,Dallas,47
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Dallas,8
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Dallas,143
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Dallas,15701
President/Vice President,Jill Stein / Ajamu Baraka,Green,Dallas,181
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Dallas,15
President/Vice President,Donald Trump / Mike Pence,Republican,Dallas,19339
President/Vice President,Total,,Dallas,38588
President/Vice President,Write-In,,Dallas,535
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Dallas,28
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Dallas,26
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Davis,21
President/Vice President,Under Votes,,Davis,55
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Davis,85
President/Vice President,Over Votes,,Davis,6
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Davis,0
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Davis,17
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Davis,977
President/Vice President,Jill Stein / Ajamu Baraka,Green,Davis,25
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Davis,1
President/Vice President,Donald Trump / Mike Pence,Republican,Davis,2723
President/Vice President,Total,,Davis,3943
President/Vice President,Write-In,,Davis,20
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Davis,7
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Davis,6
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Decatur,20
President/Vice President,Under Votes,,Decatur,37
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Decatur,123
President/Vice President,Over Votes,,Decatur,13
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Decatur,1
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Decatur,26
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Decatur,1201
President/Vice President,Jill Stein / Ajamu Baraka,Green,Decatur,29
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Decatur,1
President/Vice President,Donald Trump / Mike Pence,Republican,Decatur,2296
President/Vice President,Total,,Decatur,3784
President/Vice President,Write-In,,Decatur,31
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Decatur,5
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Decatur,1
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Delaware,47
President/Vice President,Under Votes,,Delaware,85
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Delaware,337
President/Vice President,Over Votes,,Delaware,13
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Delaware,2
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Delaware,38
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Delaware,2957
President/Vice President,Jill Stein / Ajamu Baraka,Green,Delaware,40
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Delaware,0
President/Vice President,Donald Trump / Mike Pence,Republican,Delaware,5694
President/Vice President,Total,,Delaware,9339
President/Vice President,Write-In,,Delaware,69
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Delaware,39
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Delaware,18
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Des Moines,130
President/Vice President,Under Votes,,Des Moines,143
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Des Moines,635
President/Vice President,Over Votes,,Des Moines,25
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Des Moines,4
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Des Moines,75
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Des Moines,8212
President/Vice President,Jill Stein / Ajamu Baraka,Green,Des Moines,134
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Des Moines,8
President/Vice President,Donald Trump / Mike Pence,Republican,Des Moines,9529
President/Vice President,Total,,Des Moines,19271
President/Vice President,Write-In,,Des Moines,300
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Des Moines,40
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Des Moines,36
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Dickinson,51
President/Vice President,Under Votes,,Dickinson,88
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Dickinson,292
President/Vice President,Over Votes,,Dickinson,15
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Dickinson,0
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Dickinson,31
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Dickinson,3056
