office,district,party,reporting_level,jurisdiction,county,county_num,votes
IOWA HOUSE,78,DEM,precinct,BRIDGEWATER JACKSON WASH PART RICH,ADAIR,1,111
IOWA HOUSE,78,REP,precinct,BRIDGEWATER JACKSON WASH PART RICH,ADAIR,1,175
PRESIDENT,,DEM,precinct,CASEY WALNUT PART JEFFERSON,ADAIR,1,50
PRESIDENT,,REP,precinct,CASEY WALNUT PART JEFFERSON,ADAIR,1,62
PRESIDENT,,GREEN,precinct,CASEY WALNUT PART JEFFERSON,ADAIR,1,2
PRESIDENT,,SC,precinct,CASEY WALNUT PART JEFFERSON,ADAIR,1,1
U.S REPRESENTATIVE,4,DEM,precinct,CASEY WALNUT PART JEFFERSON,ADAIR,1,40
U.S REPRESENTATIVE,4,REP,precinct,CASEY WALNUT PART JEFFERSON,ADAIR,1,68
U.S REPRESENTATIVE,4,SC,precinct,CASEY WALNUT PART JEFFERSON,ADAIR,1,2
CONST. QUES,,YES,precinct,CASEY WALNUT PART JEFFERSON,ADAIR,1,19
CONST. QUES,,NO,precinct,CASEY WALNUT PART JEFFERSON,ADAIR,1,67
IOWA HOUSE,78,DEM,precinct,CASEY WALNUT PART JEFFERSON,ADAIR,1,55
IOWA HOUSE,78,REP,precinct,CASEY WALNUT PART JEFFERSON,ADAIR,1,55
PRESIDENT,,DEM,precinct,EUREKA PRUSSIA,ADAIR,1,46
PRESIDENT,,REP,precinct,EUREKA PRUSSIA,ADAIR,1,92
PRESIDENT,,GREEN,precinct,EUREKA PRUSSIA,ADAIR,1,0
PRESIDENT,,SC,precinct,EUREKA PRUSSIA,ADAIR,1,2
U.S REPRESENTATIVE,4,DEM,precinct,EUREKA PRUSSIA,ADAIR,1,34
U.S REPRESENTATIVE,4,REP,precinct,EUREKA PRUSSIA,ADAIR,1,101
U.S REPRESENTATIVE,4,SC,precinct,EUREKA PRUSSIA,ADAIR,1,4
CONST. QUES,,YES,precinct,EUREKA PRUSSIA,ADAIR,1,22
CONST. QUES,,NO,precinct,EUREKA PRUSSIA,ADAIR,1,89
IOWA HOUSE,78,DEM,precinct,EUREKA PRUSSIA,ADAIR,1,45
IOWA HOUSE,78,REP,precinct,EUREKA PRUSSIA,ADAIR,1,95
PRESIDENT,,DEM,precinct,FONTANELLE SUMMERSET,ADAIR,1,163
PRESIDENT,,REP,precinct,FONTANELLE SUMMERSET,ADAIR,1,270
PRESIDENT,,GREEN,precinct,FONTANELLE SUMMERSET,ADAIR,1,5
PRESIDENT,,SC,precinct,FONTANELLE SUMMERSET,ADAIR,1,3
U.S REPRESENTATIVE,4,DEM,precinct,FONTANELLE SUMMERSET,ADAIR,1,80
U.S REPRESENTATIVE,4,REP,precinct,FONTANELLE SUMMERSET,ADAIR,1,329
U.S REPRESENTATIVE,4,SC,precinct,FONTANELLE SUMMERSET,ADAIR,1,9
CONST. QUES,,YES,precinct,FONTANELLE SUMMERSET,ADAIR,1,97
CONST. QUES,,NO,precinct,FONTANELLE SUMMERSET,ADAIR,1,218
IOWA HOUSE,78,DEM,precinct,FONTANELLE SUMMERSET,ADAIR,1,139
IOWA HOUSE,78,REP,precinct,FONTANELLE SUMMERSET,ADAIR,1,297
PRESIDENT,,DEM,precinct,GREENFIELD 1 CITY (& SOME RURAL),ADAIR,1,329
PRESIDENT,,REP,precinct,GREENFIELD 1 CITY (& SOME RURAL),ADAIR,1,375
PRESIDENT,,GREEN,precinct,GREENFIELD 1 CITY (& SOME RURAL),ADAIR,1,7
PRESIDENT,,SC,precinct,GREENFIELD 1 CITY (& SOME RURAL),ADAIR,1,5
U.S REPRESENTATIVE,4,DEM,precinct,GREENFIELD 1 CITY (& SOME RURAL),ADAIR,1,172
U.S REPRESENTATIVE,4,REP,precinct,GREENFIELD 1 CITY (& SOME RURAL),ADAIR,1,510
U.S REPRESENTATIVE,4,SC,precinct,GREENFIELD 1 CITY (& SOME RURAL),ADAIR,1,4
CONST. QUES,,YES,precinct,GREENFIELD 1 CITY (& SOME RURAL),ADAIR,1,168
CONST. QUES,,NO,precinct,GREENFIELD 1 CITY (& SOME RURAL),ADAIR,1,365
IOWA HOUSE,78,DEM,precinct,GREENFIELD 1 CITY (& SOME RURAL),ADAIR,1,276
IOWA HOUSE,78,REP,precinct,GREENFIELD 1 CITY (& SOME RURAL),ADAIR,1,438
PRESIDENT,,DEM,precinct,GREENFIELD 2 GREENFIELD TWP LEE,ADAIR,1,116
PRESIDENT,,REP,precinct,GREENFIELD 2 GREENFIELD TWP LEE,ADAIR,1,136
PRESIDENT,,GREEN,precinct,GREENFIELD 2 GREENFIELD TWP LEE,ADAIR,1,4
PRESIDENT,,SC,precinct,GREENFIELD 2 GREENFIELD TWP LEE,ADAIR,1,2
U.S REPRESENTATIVE,4,DEM,precinct,GREENFIELD 2 GREENFIELD TWP LEE,ADAIR,1,67
U.S REPRESENTATIVE,4,REP,precinct,GREENFIELD 2 GREENFIELD TWP LEE,ADAIR,1,174
U.S REPRESENTATIVE,4,SC,precinct,GREENFIELD 2 GREENFIELD TWP LEE,ADAIR,1,12
CONST. QUES,,YES,precinct,GREENFIELD 2 GREENFIELD TWP LEE,ADAIR,1,68
CONST. QUES,,NO,precinct,GREENFIELD 2 GREENFIELD TWP LEE,ADAIR,1,119
IOWA HOUSE,78,DEM,precinct,GREENFIELD 2 GREENFIELD TWP LEE,ADAIR,1,104
IOWA HOUSE,78,REP,precinct,GREENFIELD 2 GREENFIELD TWP LEE,ADAIR,1,160
PRESIDENT,,DEM,precinct,GROVE-GRAND RIVER-LEE,ADAIR,1,55
PRESIDENT,,REP,precinct,GROVE-GRAND RIVER-LEE,ADAIR,1,105
PRESIDENT,,GREEN,precinct,GROVE-GRAND RIVER-LEE,ADAIR,1,8
PRESIDENT,,SC,precinct,GROVE-GRAND RIVER-LEE,ADAIR,1,1
U.S REPRESENTATIVE,4,DEM,precinct,GROVE-GRAND RIVER-LEE,ADAIR,1,44
U.S REPRESENTATIVE,4,REP,precinct,GROVE-GRAND RIVER-LEE,ADAIR,1,121
U.S REPRESENTATIVE,4,SC,precinct,GROVE-GRAND RIVER-LEE,ADAIR,1,1
CONST. QUES,,YES,precinct,GROVE-GRAND RIVER-LEE,ADAIR,1,29
CONST. QUES,,NO,precinct,GROVE-GRAND RIVER-LEE,ADAIR,1,109
IOWA HOUSE,78,DEM,precinct,GROVE-GRAND RIVER-LEE,ADAIR,1,66
IOWA HOUSE,78,REP,precinct,GROVE-GRAND RIVER-LEE,ADAIR,1,103
PRESIDENT,,DEM,precinct,LINCOLN STUART HARRISON PART JEFF,ADAIR,1,230
PRESIDENT,,REP,precinct,LINCOLN STUART HARRISON PART JEFF,ADAIR,1,263
PRESIDENT,,GREEN,precinct,LINCOLN STUART HARRISON PART JEFF,ADAIR,1,8
PRESIDENT,,SC,precinct,LINCOLN STUART HARRISON PART JEFF,ADAIR,1,6
U.S REPRESENTATIVE,4,DEM,precinct,LINCOLN STUART HARRISON PART JEFF,ADAIR,1,146
U.S REPRESENTATIVE,4,REP,precinct,LINCOLN STUART HARRISON PART JEFF,ADAIR,1,323
U.S REPRESENTATIVE,4,SC,precinct,LINCOLN STUART HARRISON PART JEFF,ADAIR,1,13
CONST. QUES,,YES,precinct,LINCOLN STUART HARRISON PART JEFF,ADAIR,1,110
CONST. QUES,,NO,precinct,LINCOLN STUART HARRISON PART JEFF,ADAIR,1,292
IOWA HOUSE,78,DEM,precinct,LINCOLN STUART HARRISON PART JEFF,ADAIR,1,319
IOWA HOUSE,78,REP,precinct,LINCOLN STUART HARRISON PART JEFF,ADAIR,1,183
PRESIDENT,,DEM,precinct,ORIENT UNION PART RICHLAND,ADAIR,1,167
PRESIDENT,,REP,precinct,ORIENT UNION PART RICHLAND,ADAIR,1,224
PRESIDENT,,GREEN,precinct,ORIENT UNION PART RICHLAND,ADAIR,1,13
PRESIDENT,,SC,precinct,ORIENT UNION PART RICHLAND,ADAIR,1,3
U.S REPRESENTATIVE,4,DEM,precinct,ORIENT UNION PART RICHLAND,ADAIR,1,102
U.S REPRESENTATIVE,4,REP,precinct,ORIENT UNION PART RICHLAND,ADAIR,1,276
U.S REPRESENTATIVE,4,SC,precinct,ORIENT UNION PART RICHLAND,ADAIR,1,9
CONST. QUES,,YES,precinct,ORIENT UNION PART RICHLAND,ADAIR,1,82
CONST. QUES,,NO,precinct,ORIENT UNION PART RICHLAND,ADAIR,1,217
IOWA HOUSE,78,DEM,precinct,ORIENT UNION PART RICHLAND,ADAIR,1,145
IOWA HOUSE,78,REP,precinct,ORIENT UNION PART RICHLAND,ADAIR,1,254
IOWA HOUSE,87,DEM,precinct,ABS & SP BALLOTS HSE 87,ADAMS,2,0
IOWA HOUSE,87,REP,precinct,ABS & SP BALLOTS HSE 87,ADAMS,2,8
IOWA SENATE,44,DEM,precinct,ABS & SP BALLOTS SEN 44,ADAMS,2,0
IOWA SENATE,44,REP,precinct,ABS & SP BALLOTS SEN 44,ADAMS,2,8
PRESIDENT,,DEM,precinct,ABSENTEE & SPECIAL BALLOTS,ADAMS,2,1
PRESIDENT,,REP,precinct,ABSENTEE & SPECIAL BALLOTS,ADAMS,2,6
PRESIDENT,,GREEN,precinct,ABSENTEE & SPECIAL BALLOTS,ADAMS,2,1
PRESIDENT,,SC,precinct,ABSENTEE & SPECIAL BALLOTS,ADAMS,2,0
U.S REPRESENTATIVE,3,DEM,precinct,ABSENTEE & SPECIAL BALLOTS,ADAMS,2,5
U.S REPRESENTATIVE,3,REP,precinct,ABSENTEE & SPECIAL BALLOTS,ADAMS,2,2
U.S REPRESENTATIVE,3,OTH,precinct,ABSENTEE & SPECIAL BALLOTS,ADAMS,2,0
U.S REPRESENTATIVE,3,SC,precinct,ABSENTEE & SPECIAL BALLOTS,ADAMS,2,2
CONST. QUES,,YES,precinct,ABSENTEE & SPECIAL BALLOTS,ADAMS,2,1
CONST. QUES,,NO,precinct,ABSENTEE & SPECIAL BALLOTS,ADAMS,2,7
PRESIDENT,,DEM,precinct,COLONY & CARL EAST,ADAMS,2,69
PRESIDENT,,REP,precinct,COLONY & CARL EAST,ADAMS,2,106
PRESIDENT,,GREEN,precinct,COLONY & CARL EAST,ADAMS,2,3
PRESIDENT,,SC,precinct,COLONY & CARL EAST,ADAMS,2,0
U.S REPRESENTATIVE,3,DEM,precinct,COLONY & CARL EAST,ADAMS,2,142
U.S REPRESENTATIVE,3,REP,precinct,COLONY & CARL EAST,ADAMS,2,32
U.S REPRESENTATIVE,3,OTH,precinct,COLONY & CARL EAST,ADAMS,2,1
U.S REPRESENTATIVE,3,SC,precinct,COLONY & CARL EAST,ADAMS,2,2
CONST. QUES,,YES,precinct,COLONY & CARL EAST,ADAMS,2,30
CONST. QUES,,NO,precinct,COLONY & CARL EAST,ADAMS,2,105
IOWA SENATE,44,DEM,precinct,COLONY & CARL EAST,ADAMS,2,62
IOWA SENATE,44,REP,precinct,COLONY & CARL EAST,ADAMS,2,109
IOWA HOUSE,87,DEM,precinct,COLONY & CARL EAST,ADAMS,2,61
IOWA HOUSE,87,REP,precinct,COLONY & CARL EAST,ADAMS,2,109
IOWA HOUSE,87,SC,precinct,COLONY & CARL EAST,ADAMS,2,0
PRESIDENT,,DEM,precinct,CORNING 1 & JASPER,ADAMS,2,203
PRESIDENT,,REP,precinct,CORNING 1 & JASPER,ADAMS,2,201
PRESIDENT,,GREEN,precinct,CORNING 1 & JASPER,ADAMS,2,7
PRESIDENT,,SC,precinct,CORNING 1 & JASPER,ADAMS,2,11
U.S REPRESENTATIVE,3,DEM,precinct,CORNING 1 & JASPER,ADAMS,2,310
U.S REPRESENTATIVE,3,REP,precinct,CORNING 1 & JASPER,ADAMS,2,106
U.S REPRESENTATIVE,3,OTH,precinct,CORNING 1 & JASPER,ADAMS,2,4
U.S REPRESENTATIVE,3,SC,precinct,CORNING 1 & JASPER,ADAMS,2,5
CONST. QUES,,YES,precinct,CORNING 1 & JASPER,ADAMS,2,88
CONST. QUES,,NO,precinct,CORNING 1 & JASPER,ADAMS,2,220
IOWA SENATE,44,DEM,precinct,CORNING 1 & JASPER,ADAMS,2,152
IOWA SENATE,44,REP,precinct,CORNING 1 & JASPER,ADAMS,2,260
IOWA HOUSE,87,DEM,precinct,CORNING 1 & JASPER,ADAMS,2,190
IOWA HOUSE,87,REP,precinct,CORNING 1 & JASPER,ADAMS,2,224
IOWA HOUSE,87,SC,precinct,CORNING 1 & JASPER,ADAMS,2,0
PRESIDENT,,DEM,precinct,CORNING 2,ADAMS,2,104
PRESIDENT,,REP,precinct,CORNING 2,ADAMS,2,154
PRESIDENT,,GREEN,precinct,CORNING 2,ADAMS,2,5
PRESIDENT,,SC,precinct,CORNING 2,ADAMS,2,0
U.S REPRESENTATIVE,3,DEM,precinct,CORNING 2,ADAMS,2,183
U.S REPRESENTATIVE,3,REP,precinct,CORNING 2,ADAMS,2,72
U.S REPRESENTATIVE,3,OTH,precinct,CORNING 2,ADAMS,2,6
U.S REPRESENTATIVE,3,SC,precinct,CORNING 2,ADAMS,2,7
CONST. QUES,,YES,precinct,CORNING 2,ADAMS,2,55
CONST. QUES,,NO,precinct,CORNING 2,ADAMS,2,141
IOWA SENATE,44,DEM,precinct,CORNING 2,ADAMS,2,60
IOWA SENATE,44,REP,precinct,CORNING 2,ADAMS,2,194
IOWA HOUSE,87,DEM,precinct,CORNING 2,ADAMS,2,83
IOWA HOUSE,87,REP,precinct,CORNING 2,ADAMS,2,176
IOWA HOUSE,87,SC,precinct,CORNING 2,ADAMS,2,0
PRESIDENT,,DEM,precinct,CORNING 3A,ADAMS,2,89
PRESIDENT,,REP,precinct,CORNING 3A,ADAMS,2,93
PRESIDENT,,GREEN,precinct,CORNING 3A,ADAMS,2,1
PRESIDENT,,SC,precinct,CORNING 3A,ADAMS,2,0
U.S REPRESENTATIVE,3,DEM,precinct,CORNING 3A,ADAMS,2,139
U.S REPRESENTATIVE,3,REP,precinct,CORNING 3A,ADAMS,2,39
U.S REPRESENTATIVE,3,OTH,precinct,CORNING 3A,ADAMS,2,4
U.S REPRESENTATIVE,3,SC,precinct,CORNING 3A,ADAMS,2,5
CONST. QUES,,YES,precinct,CORNING 3A,ADAMS,2,37
CONST. QUES,,NO,precinct,CORNING 3A,ADAMS,2,85
IOWA SENATE,44,DEM,precinct,CORNING 3A,ADAMS,2,64
IOWA SENATE,44,REP,precinct,CORNING 3A,ADAMS,2,118
IOWA HOUSE,87,DEM,precinct,CORNING 3A,ADAMS,2,75
IOWA HOUSE,87,REP,precinct,CORNING 3A,ADAMS,2,109
IOWA HOUSE,87,SC,precinct,CORNING 3A,ADAMS,2,0
PRESIDENT,,DEM,precinct,CORNING 3B & QUINCY,ADAMS,2,96
PRESIDENT,,REP,precinct,CORNING 3B & QUINCY,ADAMS,2,121
PRESIDENT,,GREEN,precinct,CORNING 3B & QUINCY,ADAMS,2,7
PRESIDENT,,SC,precinct,CORNING 3B & QUINCY,ADAMS,2,2
U.S REPRESENTATIVE,3,DEM,precinct,CORNING 3B & QUINCY,ADAMS,2,162
U.S REPRESENTATIVE,3,REP,precinct,CORNING 3B & QUINCY,ADAMS,2,63
U.S REPRESENTATIVE,3,OTH,precinct,CORNING 3B & QUINCY,ADAMS,2,1
U.S REPRESENTATIVE,3,SC,precinct,CORNING 3B & QUINCY,ADAMS,2,2
CONST. QUES,,YES,precinct,CORNING 3B & QUINCY,ADAMS,2,57
CONST. QUES,,NO,precinct,CORNING 3B & QUINCY,ADAMS,2,99
IOWA SENATE,44,DEM,precinct,CORNING 3B & QUINCY,ADAMS,2,74
IOWA SENATE,44,REP,precinct,CORNING 3B & QUINCY,ADAMS,2,148
IOWA HOUSE,87,DEM,precinct,CORNING 3B & QUINCY,ADAMS,2,85
IOWA HOUSE,87,REP,precinct,CORNING 3B & QUINCY,ADAMS,2,137
IOWA HOUSE,87,SC,precinct,CORNING 3B & QUINCY,ADAMS,2,0
PRESIDENT,,DEM,precinct,GRANT & UNION,ADAMS,2,68
PRESIDENT,,REP,precinct,GRANT & UNION,ADAMS,2,114
PRESIDENT,,GREEN,precinct,GRANT & UNION,ADAMS,2,2
PRESIDENT,,SC,precinct,GRANT & UNION,ADAMS,2,1
U.S REPRESENTATIVE,3,DEM,precinct,GRANT & UNION,ADAMS,2,136
U.S REPRESENTATIVE,3,REP,precinct,GRANT & UNION,ADAMS,2,44
U.S REPRESENTATIVE,3,OTH,precinct,GRANT & UNION,ADAMS,2,1
U.S REPRESENTATIVE,3,SC,precinct,GRANT & UNION,ADAMS,2,3
CONST. QUES,,YES,precinct,GRANT & UNION,ADAMS,2,32
CONST. QUES,,NO,precinct,GRANT & UNION,ADAMS,2,102
IOWA SENATE,44,DEM,precinct,GRANT & UNION,ADAMS,2,81
IOWA SENATE,44,REP,precinct,GRANT & UNION,ADAMS,2,105
IOWA HOUSE,87,DEM,precinct,GRANT & UNION,ADAMS,2,66
IOWA HOUSE,87,REP,precinct,GRANT & UNION,ADAMS,2,117
IOWA HOUSE,87,SC,precinct,GRANT & UNION,ADAMS,2,0
PRESIDENT,,DEM,precinct,LINCOLN DOUGLAS CARBON,ADAMS,2,42
PRESIDENT,,REP,precinct,LINCOLN DOUGLAS CARBON,ADAMS,2,81
PRESIDENT,,GREEN,precinct,LINCOLN DOUGLAS CARBON,ADAMS,2,6
PRESIDENT,,SC,precinct,LINCOLN DOUGLAS CARBON,ADAMS,2,2
U.S REPRESENTATIVE,3,DEM,precinct,LINCOLN DOUGLAS CARBON,ADAMS,2,87
U.S REPRESENTATIVE,3,REP,precinct,LINCOLN DOUGLAS CARBON,ADAMS,2,38
U.S REPRESENTATIVE,3,OTH,precinct,LINCOLN DOUGLAS CARBON,ADAMS,2,1
U.S REPRESENTATIVE,3,SC,precinct,LINCOLN DOUGLAS CARBON,ADAMS,2,1
CONST. QUES,,YES,precinct,LINCOLN DOUGLAS CARBON,ADAMS,2,27
CONST. QUES,,NO,precinct,LINCOLN DOUGLAS CARBON,ADAMS,2,61
IOWA SENATE,44,DEM,precinct,LINCOLN DOUGLAS CARBON,ADAMS,2,45
IOWA SENATE,44,REP,precinct,LINCOLN DOUGLAS CARBON,ADAMS,2,80
IOWA HOUSE,87,DEM,precinct,LINCOLN DOUGLAS CARBON,ADAMS,2,54
IOWA HOUSE,87,REP,precinct,LINCOLN DOUGLAS CARBON,ADAMS,2,72
IOWA HOUSE,87,SC,precinct,LINCOLN DOUGLAS CARBON,ADAMS,2,0
PRESIDENT,,DEM,precinct,MERCER,ADAMS,2,31
PRESIDENT,,REP,precinct,MERCER,ADAMS,2,40
PRESIDENT,,GREEN,precinct,MERCER,ADAMS,2,2
PRESIDENT,,SC,precinct,MERCER,ADAMS,2,0
U.S REPRESENTATIVE,3,DEM,precinct,MERCER,ADAMS,2,58
U.S REPRESENTATIVE,3,REP,precinct,MERCER,ADAMS,2,16
U.S REPRESENTATIVE,3,OTH,precinct,MERCER,ADAMS,2,0
U.S REPRESENTATIVE,3,SC,precinct,MERCER,ADAMS,2,7
CONST. QUES,,YES,precinct,MERCER,ADAMS,2,12
CONST. QUES,,NO,precinct,MERCER,ADAMS,2,45
IOWA SENATE,44,DEM,precinct,MERCER,ADAMS,2,23
IOWA SENATE,44,REP,precinct,MERCER,ADAMS,2,50
IOWA HOUSE,87,DEM,precinct,MERCER,ADAMS,2,33
IOWA HOUSE,87,REP,precinct,MERCER,ADAMS,2,41
IOWA HOUSE,87,SC,precinct,MERCER,ADAMS,2,0
PRESIDENT,,DEM,precinct,NODAWAY & JASPER NODAWAY,ADAMS,2,51
PRESIDENT,,REP,precinct,NODAWAY & JASPER NODAWAY,ADAMS,2,102
PRESIDENT,,GREEN,precinct,NODAWAY & JASPER NODAWAY,ADAMS,2,3
PRESIDENT,,SC,precinct,NODAWAY & JASPER NODAWAY,ADAMS,2,2
U.S REPRESENTATIVE,3,DEM,precinct,NODAWAY & JASPER NODAWAY,ADAMS,2,95
U.S REPRESENTATIVE,3,REP,precinct,NODAWAY & JASPER NODAWAY,ADAMS,2,52
U.S REPRESENTATIVE,3,OTH,precinct,NODAWAY & JASPER NODAWAY,ADAMS,2,5
U.S REPRESENTATIVE,3,SC,precinct,NODAWAY & JASPER NODAWAY,ADAMS,2,10
CONST. QUES,,YES,precinct,NODAWAY & JASPER NODAWAY,ADAMS,2,22
CONST. QUES,,NO,precinct,NODAWAY & JASPER NODAWAY,ADAMS,2,100
IOWA SENATE,44,DEM,precinct,NODAWAY & JASPER NODAWAY,ADAMS,2,42
IOWA SENATE,44,REP,precinct,NODAWAY & JASPER NODAWAY,ADAMS,2,111
IOWA HOUSE,87,DEM,precinct,NODAWAY & JASPER NODAWAY,ADAMS,2,58
IOWA HOUSE,87,REP,precinct,NODAWAY & JASPER NODAWAY,ADAMS,2,99
IOWA HOUSE,87,SC,precinct,NODAWAY & JASPER NODAWAY,ADAMS,2,0
PRESIDENT,,DEM,precinct,PRESCOTT,ADAMS,2,99
PRESIDENT,,REP,precinct,PRESCOTT,ADAMS,2,96
PRESIDENT,,GREEN,precinct,PRESCOTT,ADAMS,2,13
PRESIDENT,,SC,precinct,PRESCOTT,ADAMS,2,9
U.S REPRESENTATIVE,3,DEM,precinct,PRESCOTT,ADAMS,2,160
U.S REPRESENTATIVE,3,REP,precinct,PRESCOTT,ADAMS,2,43
U.S REPRESENTATIVE,3,OTH,precinct,PRESCOTT,ADAMS,2,7
U.S REPRESENTATIVE,3,SC,precinct,PRESCOTT,ADAMS,2,0
CONST. QUES,,YES,precinct,PRESCOTT,ADAMS,2,39
CONST. QUES,,NO,precinct,PRESCOTT,ADAMS,2,118
IOWA SENATE,44,DEM,precinct,PRESCOTT,ADAMS,2,79
IOWA SENATE,44,REP,precinct,PRESCOTT,ADAMS,2,128
IOWA HOUSE,87,DEM,precinct,PRESCOTT,ADAMS,2,84
IOWA HOUSE,87,REP,precinct,PRESCOTT,ADAMS,2,122
IOWA HOUSE,87,SC,precinct,PRESCOTT,ADAMS,2,0
PRESIDENT,,DEM,precinct,WASHINGTON & CARL WEST,ADAMS,2,44
PRESIDENT,,REP,precinct,WASHINGTON & CARL WEST,ADAMS,2,56
PRESIDENT,,GREEN,precinct,WASHINGTON & CARL WEST,ADAMS,2,1
PRESIDENT,,SC,precinct,WASHINGTON & CARL WEST,ADAMS,2,0
U.S REPRESENTATIVE,3,DEM,precinct,WASHINGTON & CARL WEST,ADAMS,2,84
U.S REPRESENTATIVE,3,REP,precinct,WASHINGTON & CARL WEST,ADAMS,2,16
U.S REPRESENTATIVE,3,OTH,precinct,WASHINGTON & CARL WEST,ADAMS,2,0
U.S REPRESENTATIVE,3,SC,precinct,WASHINGTON & CARL WEST,ADAMS,2,0
CONST. QUES,,YES,precinct,WASHINGTON & CARL WEST,ADAMS,2,15
CONST. QUES,,NO,precinct,WASHINGTON & CARL WEST,ADAMS,2,51
IOWA SENATE,44,DEM,precinct,WASHINGTON & CARL WEST,ADAMS,2,31
IOWA SENATE,44,REP,precinct,WASHINGTON & CARL WEST,ADAMS,2,67
IOWA HOUSE,87,DEM,precinct,WASHINGTON & CARL WEST,ADAMS,2,33
IOWA HOUSE,87,REP,precinct,WASHINGTON & CARL WEST,ADAMS,2,66
IOWA HOUSE,87,SC,precinct,WASHINGTON & CARL WEST,ADAMS,2,0
IOWA HOUSE,31,REP,precinct,ABS & SP BALLOTS HSE 31,ALLAMAKEE,3,693
IOWA HOUSE,31,SC,precinct,ABS & SP BALLOTS HSE 31,ALLAMAKEE,3,0
IOWA HOUSE,32,DEM,precinct,ABS & SP BALLOTS HSE 32,ALLAMAKEE,3,64
IOWA HOUSE,32,REP,precinct,ABS & SP BALLOTS HSE 32,ALLAMAKEE,3,245
IOWA HOUSE,32,SC,precinct,ABS & SP BALLOTS HSE 32,ALLAMAKEE,3,0
IOWA SENATE,16,DEM,precinct,ABS & SP BALLOTS SEN 16,ALLAMAKEE,3,496
IOWA SENATE,16,REP,precinct,ABS & SP BALLOTS SEN 16,ALLAMAKEE,3,760
PRESIDENT,,DEM,precinct,ABSENTEE & SPECIAL BALLOTS,ALLAMAKEE,3,600
PRESIDENT,,REP,precinct,ABSENTEE & SPECIAL BALLOTS,ALLAMAKEE,3,621
PRESIDENT,,GREEN,precinct,ABSENTEE & SPECIAL BALLOTS,ALLAMAKEE,3,39
PRESIDENT,,SC,precinct,ABSENTEE & SPECIAL BALLOTS,ALLAMAKEE,3,9
U.S REPRESENTATIVE,2,DEM,precinct,ABSENTEE & SPECIAL BALLOTS,ALLAMAKEE,3,465
U.S REPRESENTATIVE,2,REP,precinct,ABSENTEE & SPECIAL BALLOTS,ALLAMAKEE,3,771
CONST. QUES,,YES,precinct,ABSENTEE & SPECIAL BALLOTS,ALLAMAKEE,3,294
