office,candidate,party,county,votes
President,Buchanan / Foster,Reform Party,Buchanan,52
President,Harris / Trowe,Socialist Workers,Buchanan,3
President,Phillips / Frazier,Constitution,Buchanan,7
President,McReynolds / Hollis,Socialist Party USA,Buchanan,2
President,Hagelin / Goldhaber,Nominated by Petition,Buchanan,11
President,Scattering,,Buchanan,8
President,Totals,,Buchanan,9410
President,Gore / Lieberman,Democratic,Buena Vista,3297
President,Bush / Cheney,Republican,Buena Vista,4354
President,Browne / Olivier,Libertarian Party of Iowa,Buena Vista,15
President,Nader / Laduke,Iowa Green Party,Buena Vista,227
President,Buchanan / Foster,Reform Party,Buena Vista,59
President,Harris / Trowe,Socialist Workers,Buena Vista,5
President,Phillips / Frazier,Constitution,Buena Vista,8
President,McReynolds / Hollis,Socialist Party USA,Buena Vista,1
President,Hagelin / Goldhaber,Nominated by Petition,Buena Vista,7
President,Scattering,,Buena Vista,4
President,Totals,,Buena Vista,7977
President,Gore / Lieberman,Democratic,Butler,2735
President,Bush / Cheney,Republican,Butler,3837
President,Browne / Olivier,Libertarian Party of Iowa,Butler,11
President,Nader / Laduke,Iowa Green Party,Butler,113
President,Buchanan / Foster,Reform Party,Butler,12
President,Harris / Trowe,Socialist Workers,Butler,2
President,Phillips / Frazier,Constitution,Butler,1
President,McReynolds / Hollis,Socialist Party USA,Butler,0
President,Hagelin / Goldhaber,Nominated by Petition,Butler,9
President,Scattering,,Butler,4
President,Totals,,Butler,6724
President,Gore / Lieberman,Democratic,Calhoun,2132
President,Bush / Cheney,Republican,Calhoun,2776
President,Browne / Olivier,Libertarian Party of Iowa,Calhoun,12
President,Nader / Laduke,Iowa Green Party,Calhoun,93
President,Buchanan / Foster,Reform Party,Calhoun,18
President,Harris / Trowe,Socialist Workers,Calhoun,0
President,Phillips / Frazier,Constitution,Calhoun,6
President,McReynolds / Hollis,Socialist Party USA,Calhoun,0
President,Hagelin / Goldhaber,Nominated by Petition,Calhoun,2
President,Scattering,,Calhoun,2
President,Totals,,Calhoun,5041
President,Gore / Lieberman,Democratic,Carroll,4463
President,Bush / Cheney,Republican,Carroll,4879
President,Browne / Olivier,Libertarian Party of Iowa,Carroll,11
President,Nader / Laduke,Iowa Green Party,Carroll,146
President,Buchanan / Foster,Reform Party,Carroll,46
President,Harris / Trowe,Socialist Workers,Carroll,0
President,Phillips / Frazier,Constitution,Carroll,5
President,McReynolds / Hollis,Socialist Party USA,Carroll,1
President,Hagelin / Goldhaber,Nominated by Petition,Carroll,9
President,Scattering,,Carroll,8
President,Totals,,Carroll,9568
President,Gore / Lieberman,Democratic,Cass,2481
President,Bush / Cheney,Republican,Cass,4206
President,Browne / Olivier,Libertarian Party of Iowa,Cass,9
President,Nader / Laduke,Iowa Green Party,Cass,147
President,Buchanan / Foster,Reform Party,Cass,22
President,Harris / Trowe,Socialist Workers,Cass,1
President,Phillips / Frazier,Constitution,Cass,1
President,McReynolds / Hollis,Socialist Party USA,Cass,0
President,Hagelin / Goldhaber,Nominated by Petition,Cass,5
President,Scattering,,Cass,8
President,Totals,,Cass,6880
President,Gore / Lieberman,Democratic,Cedar,4033
President,Bush / Cheney,Republican,Cedar,4031
President,Browne / Olivier,Libertarian Party of Iowa,Cedar,16
President,Nader / Laduke,Iowa Green Party,Cedar,212
President,Buchanan / Foster,Reform Party,Cedar,32
President,Harris / Trowe,Socialist Workers,Cedar,0
President,Phillips / Frazier,Constitution,Cedar,0
President,McReynolds / Hollis,Socialist Party USA,Cedar,0
President,Hagelin / Goldhaber,Nominated by Petition,Cedar,11
President,Scattering,,Cedar,9
President,Totals,,Cedar,8344
President,Gore / Lieberman,Democratic,Cerro Gordo,12185
President,Bush / Cheney,Republican,Cerro Gordo,9397
President,Browne / Olivier,Libertarian Party of Iowa,Cerro Gordo,42
President,Nader / Laduke,Iowa Green Party,Cerro Gordo,408
President,Buchanan / Foster,Reform Party,Cerro Gordo,77
President,Harris / Trowe,Socialist Workers,Cerro Gordo,4
President,Phillips / Frazier,Constitution,Cerro Gordo,4
President,McReynolds / Hollis,Socialist Party USA,Cerro Gordo,2
President,Hagelin / Goldhaber,Nominated by Petition,Cerro Gordo,23
President,Scattering,,Cerro Gordo,20
President,Totals,,Cerro Gordo,22162
President,Gore / Lieberman,Democratic,Cherokee,2845
President,Bush / Cheney,Republican,Cherokee,3463
President,Browne / Olivier,Libertarian Party of Iowa,Cherokee,10
President,Nader / Laduke,Iowa Green Party,Cherokee,160
President,Buchanan / Foster,Reform Party,Cherokee,83
President,Harris / Trowe,Socialist Workers,Cherokee,1
President,Phillips / Frazier,Constitution,Cherokee,7
President,McReynolds / Hollis,Socialist Party USA,Cherokee,2
President,Hagelin / Goldhaber,Nominated by Petition,Cherokee,12
President,Scattering,,Cherokee,9
President,Totals,,Cherokee,6592
President,Gore / Lieberman,Democratic,Chickasaw,3435
President,Bush / Cheney,Republican,Chickasaw,2936
President,Browne / Olivier,Libertarian Party of Iowa,Chickasaw,8
President,Nader / Laduke,Iowa Green Party,Chickasaw,145
President,Buchanan / Foster,Reform Party,Chickasaw,40
President,Harris / Trowe,Socialist Workers,Chickasaw,1
President,Phillips / Frazier,Constitution,Chickasaw,3
President,McReynolds / Hollis,Socialist Party USA,Chickasaw,0
President,Hagelin / Goldhaber,Nominated by Petition,Chickasaw,13
President,Scattering,,Chickasaw,3
President,Totals,,Chickasaw,6584
President,Gore / Lieberman,Democratic,Clarke,2081
President,Bush / Cheney,Republican,Clarke,1984
President,Browne / Olivier,Libertarian Party of Iowa,Clarke,6
President,Nader / Laduke,Iowa Green Party,Clarke,75
President,Buchanan / Foster,Reform Party,Clarke,22
President,Harris / Trowe,Socialist Workers,Clarke,0
President,Phillips / Frazier,Constitution,Clarke,2
President,McReynolds / Hollis,Socialist Party USA,Clarke,1
President,Hagelin / Goldhaber,Nominated by Petition,Clarke,2
President,Scattering,,Clarke,3
President,Totals,,Clarke,4176
President,Gore / Lieberman,Democratic,Clay,3294
President,Bush / Cheney,Republican,Clay,3992
President,Browne / Olivier,Libertarian Party of Iowa,Clay,20
President,Nader / Laduke,Iowa Green Party,Clay,166
President,Buchanan / Foster,Reform Party,Clay,51
President,Harris / Trowe,Socialist Workers,Clay,7
President,Phillips / Frazier,Constitution,Clay,4
President,McReynolds / Hollis,Socialist Party USA,Clay,2
President,Hagelin / Goldhaber,Nominated by Petition,Clay,33
President,Scattering,,Clay,9
President,Totals,,Clay,7578
President,Gore / Lieberman,Democratic,Clayton,4238
President,Bush / Cheney,Republican,Clayton,4034
President,Browne / Olivier,Libertarian Party of Iowa,Clayton,18
President,Nader / Laduke,Iowa Green Party,Clayton,206
President,Buchanan / Foster,Reform Party,Clayton,58
President,Harris / Trowe,Socialist Workers,Clayton,1
President,Phillips / Frazier,Constitution,Clayton,2
President,McReynolds / Hollis,Socialist Party USA,Clayton,0
President,Hagelin / Goldhaber,Nominated by Petition,Clayton,11
President,Scattering,,Clayton,3
President,Totals,,Clayton,8571
President,Gore / Lieberman,Democratic,Clinton,12276
President,Bush / Cheney,Republican,Clinton,9229
President,Browne / Olivier,Libertarian Party of Iowa,Clinton,65
President,Nader / Laduke,Iowa Green Party,Clinton,471
President,Buchanan / Foster,Reform Party,Clinton,113
President,Harris / Trowe,Socialist Workers,Clinton,0
President,Phillips / Frazier,Constitution,Clinton,4
President,McReynolds / Hollis,Socialist Party USA,Clinton,1
President,Hagelin / Goldhaber,Nominated by Petition,Clinton,17
President,Scattering,,Clinton,4
President,Totals,,Clinton,22180
President,Gore / Lieberman,Democratic,Crawford,2838
President,Bush / Cheney,Republican,Crawford,3482
President,Browne / Olivier,Libertarian Party of Iowa,Crawford,26
President,Nader / Laduke,Iowa Green Party,Crawford,146
President,Buchanan / Foster,Reform Party,Crawford,53
President,Harris / Trowe,Socialist Workers,Crawford,0
President,Phillips / Frazier,Constitution,Crawford,4
President,McReynolds / Hollis,Socialist Party USA,Crawford,0
President,Hagelin / Goldhaber,Nominated by Petition,Crawford,6
President,Scattering,,Crawford,0
President,Totals,,Crawford,6555
President,Gore / Lieberman,Democratic,Dallas,8561
President,Bush / Cheney,Republican,Dallas,10306
President,Browne / Olivier,Libertarian Party of Iowa,Dallas,29
President,Nader / Laduke,Iowa Green Party,Dallas,320
President,Buchanan / Foster,Reform Party,Dallas,63
President,Harris / Trowe,Socialist Workers,Dallas,4
President,Phillips / Frazier,Constitution,Dallas,8
President,McReynolds / Hollis,Socialist Party USA,Dallas,0
President,Hagelin / Goldhaber,Nominated by Petition,Dallas,13
President,Scattering,,Dallas,26
President,Totals,,Dallas,19330
President,Gore / Lieberman,Democratic,Davis,1691
President,Bush / Cheney,Republican,Davis,1956
President,Browne / Olivier,Libertarian Party of Iowa,Davis,8
President,Nader / Laduke,Iowa Green Party,Davis,67
President,Buchanan / Foster,Reform Party,Davis,19
President,Harris / Trowe,Socialist Workers,Davis,0
President,Phillips / Frazier,Constitution,Davis,8
President,McReynolds / Hollis,Socialist Party USA,Davis,0
President,Hagelin / Goldhaber,Nominated by Petition,Davis,6
President,Scattering,,Davis,3
President,Totals,,Davis,3758
President,Gore / Lieberman,Democratic,Decatur,1674
President,Bush / Cheney,Republican,Decatur,1903
President,Browne / Olivier,Libertarian Party of Iowa,Decatur,13
President,Nader / Laduke,Iowa Green Party,Decatur,94
President,Buchanan / Foster,Reform Party,Decatur,13
President,Harris / Trowe,Socialist Workers,Decatur,0
President,Phillips / Frazier,Constitution,Decatur,4
President,McReynolds / Hollis,Socialist Party USA,Decatur,0
President,Hagelin / Goldhaber,Nominated by Petition,Decatur,8
President,Scattering,,Decatur,0
President,Totals,,Decatur,3709
President,Gore / Lieberman,Democratic,Delaware,3808
President,Bush / Cheney,Republican,Delaware,4273
President,Browne / Olivier,Libertarian Party of Iowa,Delaware,50
President,Nader / Laduke,Iowa Green Party,Delaware,161
President,Buchanan / Foster,Reform Party,Delaware,44
President,Harris / Trowe,Socialist Workers,Delaware,2
President,Phillips / Frazier,Constitution,Delaware,1
President,McReynolds / Hollis,Socialist Party USA,Delaware,0
President,Hagelin / Goldhaber,Nominated by Petition,Delaware,8
President,Scattering,,Delaware,2
President,Totals,,Delaware,8349
President,Gore / Lieberman,Democratic,Des Moines,11351
President,Bush / Cheney,Republican,Des Moines,7385
President,Browne / Olivier,Libertarian Party of Iowa,Des Moines,50
President,Nader / Laduke,Iowa Green Party,Des Moines,409
President,Buchanan / Foster,Reform Party,Des Moines,121
President,Harris / Trowe,Socialist Workers,Des Moines,3
President,Phillips / Frazier,Constitution,Des Moines,8
President,McReynolds / Hollis,Socialist Party USA,Des Moines,1
President,Hagelin / Goldhaber,Nominated by Petition,Des Moines,20
President,Scattering,,Des Moines,17
President,Totals,,Des Moines,19365
President,Gore / Lieberman,Democratic,Dickinson,3660
President,Bush / Cheney,Republican,Dickinson,4225
President,Browne / Olivier,Libertarian Party of Iowa,Dickinson,14
President,Nader / Laduke,Iowa Green Party,Dickinson,169
President,Buchanan / Foster,Reform Party,Dickinson,35
President,Harris / Trowe,Socialist Workers,Dickinson,2
President,Phillips / Frazier,Constitution,Dickinson,1
President,McReynolds / Hollis,Socialist Party USA,Dickinson,0
President,Hagelin / Goldhaber,Nominated by Petition,Dickinson,3
President,Scattering,,Dickinson,12
President,Totals,,Dickinson,8121
President,Gore / Lieberman,Democratic,Dubuque,22341
President,Bush / Cheney,Republican,Dubuque,16462
President,Browne / Olivier,Libertarian Party of Iowa,Dubuque,154
President,Nader / Laduke,Iowa Green Party,Dubuque,987
President,Buchanan / Foster,Reform Party,Dubuque,298
President,Harris / Trowe,Socialist Workers,Dubuque,6
President,Phillips / Frazier,Constitution,Dubuque,14
President,McReynolds / Hollis,Socialist Party USA,Dubuque,3
President,Hagelin / Goldhaber,Nominated by Petition,Dubuque,35
President,Scattering,,Dubuque,23
President,Totals,,Dubuque,40323
President,Gore / Lieberman,Democratic,Emmet,2165
President,Bush / Cheney,Republican,Emmet,2331
President,Browne / Olivier,Libertarian Party of Iowa,Emmet,7
President,Nader / Laduke,Iowa Green Party,Emmet,98
President,Buchanan / Foster,Reform Party,Emmet,19
President,Harris / Trowe,Socialist Workers,Emmet,1
President,Phillips / Frazier,Constitution,Emmet,1
President,McReynolds / Hollis,Socialist Party USA,Emmet,0
President,Hagelin / Goldhaber,Nominated by Petition,Emmet,4
President,Scattering,,Emmet,4
President,Totals,,Emmet,4630
President,Gore / Lieberman,Democratic,Fayette,4640
President,Bush / Cheney,Republican,Fayette,4747
President,Browne / Olivier,Libertarian Party of Iowa,Fayette,17
President,Nader / Laduke,Iowa Green Party,Fayette,174
President,Buchanan / Foster,Reform Party,Fayette,28
President,Harris / Trowe,Socialist Workers,Fayette,1
President,Phillips / Frazier,Constitution,Fayette,3
President,McReynolds / Hollis,Socialist Party USA,Fayette,1
President,Hagelin / Goldhaber,Nominated by Petition,Fayette,7
President,Scattering,,Fayette,3
President,Totals,,Fayette,9621
President,Gore / Lieberman,Democratic,Floyd,3830
President,Bush / Cheney,Republican,Floyd,3191
President,Browne / Olivier,Libertarian Party of Iowa,Floyd,15
President,Nader / Laduke,Iowa Green Party,Floyd,154
President,Buchanan / Foster,Reform Party,Floyd,33
President,Harris / Trowe,Socialist Workers,Floyd,0
President,Phillips / Frazier,Constitution,Floyd,2
President,McReynolds / Hollis,Socialist Party USA,Floyd,0
President,Hagelin / Goldhaber,Nominated by Petition,Floyd,7
President,Scattering,,Floyd,6
President,Totals,,Floyd,7238
President,Gore / Lieberman,Democratic,Franklin,2122
President,Bush / Cheney,Republican,Franklin,2657
President,Browne / Olivier,Libertarian Party of Iowa,Franklin,17
President,Nader / Laduke,Iowa Green Party,Franklin,110
President,Buchanan / Foster,Reform Party,Franklin,16
President,Harris / Trowe,Socialist Workers,Franklin,1
President,Phillips / Frazier,Constitution,Franklin,3
President,McReynolds / Hollis,Socialist Party USA,Franklin,0
President,Hagelin / Goldhaber,Nominated by Petition,Franklin,8
President,Scattering,,Franklin,4
President,Totals,,Franklin,4938
President,Gore / Lieberman,Democratic,Fremont,1459
President,Bush / Cheney,Republican,Fremont,2069
President,Browne / Olivier,Libertarian Party of Iowa,Fremont,6
President,Nader / Laduke,Iowa Green Party,Fremont,63
President,Buchanan / Foster,Reform Party,Fremont,9
President,Harris / Trowe,Socialist Workers,Fremont,1
President,Phillips / Frazier,Constitution,Fremont,3
President,McReynolds / Hollis,Socialist Party USA,Fremont,0
President,Hagelin / Goldhaber,Nominated by Petition,Fremont,3
President,Scattering,,Fremont,3
President,Totals,,Fremont,3616
President,Gore / Lieberman,Democratic,Greene,2301
President,Bush / Cheney,Republican,Greene,2282
President,Browne / Olivier,Libertarian Party of Iowa,Greene,7
President,Nader / Laduke,Iowa Green Party,Greene,106
President,Buchanan / Foster,Reform Party,Greene,16
President,Harris / Trowe,Socialist Workers,Greene,1
President,Phillips / Frazier,Constitution,Greene,2
President,McReynolds / Hollis,Socialist Party USA,Greene,0
President,Hagelin / Goldhaber,Nominated by Petition,Greene,4
President,Scattering,,Greene,0
President,Totals,,Greene,4719
President,Gore / Lieberman,Democratic,Grundy,2139
President,Bush / Cheney,Republican,Grundy,3851
President,Browne / Olivier,Libertarian Party of Iowa,Grundy,14
President,Nader / Laduke,Iowa Green Party,Grundy,70
President,Buchanan / Foster,Reform Party,Grundy,16
President,Harris / Trowe,Socialist Workers,Grundy,1
President,Phillips / Frazier,Constitution,Grundy,7
President,McReynolds / Hollis,Socialist Party USA,Grundy,0
President,Hagelin / Goldhaber,Nominated by Petition,Grundy,3
President,Scattering,,Grundy,10
President,Totals,,Grundy,6111
President,Gore / Lieberman,Democratic,Guthrie,2493
President,Bush / Cheney,Republican,Guthrie,2840
President,Browne / Olivier,Libertarian Party of Iowa,Guthrie,17
President,Nader / Laduke,Iowa Green Party,Guthrie,86
President,Buchanan / Foster,Reform Party,Guthrie,21
President,Harris / Trowe,Socialist Workers,Guthrie,0
President,Phillips / Frazier,Constitution,Guthrie,3
President,McReynolds / Hollis,Socialist Party USA,Guthrie,1
President,Hagelin / Goldhaber,Nominated by Petition,Guthrie,5
President,Scattering,,Guthrie,3
President,Totals,,Guthrie,5469
President,Gore / Lieberman,Democratic,Hamilton,3407
President,Bush / Cheney,Republican,Hamilton,3968
President,Browne / Olivier,Libertarian Party of Iowa,Hamilton,16
President,Nader / Laduke,Iowa Green Party,Hamilton,141
President,Buchanan / Foster,Reform Party,Hamilton,28
President,Harris / Trowe,Socialist Workers,Hamilton,1
President,Phillips / Frazier,Constitution,Hamilton,6
President,McReynolds / Hollis,Socialist Party USA,Hamilton,1
President,Hagelin / Goldhaber,Nominated by Petition,Hamilton,1
President,Scattering,,Hamilton,5
President,Totals,,Hamilton,7574
President,Gore / Lieberman,Democratic,Hancock,2281
President,Bush / Cheney,Republican,Hancock,2988
President,Browne / Olivier,Libertarian Party of Iowa,Hancock,6
President,Nader / Laduke,Iowa Green Party,Hancock,123
President,Buchanan / Foster,Reform Party,Hancock,23
President,Harris / Trowe,Socialist Workers,Hancock,0
President,Phillips / Frazier,Constitution,Hancock,5
President,McReynolds / Hollis,Socialist Party USA,Hancock,0
President,Hagelin / Goldhaber,Nominated by Petition,Hancock,10
President,Scattering,,Hancock,2
President,Totals,,Hancock,5438
President,Gore / Lieberman,Democratic,Hardin,3734
President,Bush / Cheney,Republican,Hardin,4486
President,Browne / Olivier,Libertarian Party of Iowa,Hardin,19
President,Nader / Laduke,Iowa Green Party,Hardin,141
President,Buchanan / Foster,Reform Party,Hardin,32
President,Harris / Trowe,Socialist Workers,Hardin,1
President,Phillips / Frazier,Constitution,Hardin,4
President,McReynolds / Hollis,Socialist Party USA,Hardin,0
President,Hagelin / Goldhaber,Nominated by Petition,Hardin,12
President,Scattering,,Hardin,6
President,Totals,,Hardin,8435
President,Gore / Lieberman,Democratic,Harrison,2551
President,Bush / Cheney,Republican,Harrison,3802
President,Browne / Olivier,Libertarian Party of Iowa,Harrison,11
President,Nader / Laduke,Iowa Green Party,Harrison,126
President,Buchanan / Foster,Reform Party,Harrison,33
President,Harris / Trowe,Socialist Workers,Harrison,0
President,Phillips / Frazier,Constitution,Harrison,6
President,McReynolds / Hollis,Socialist Party USA,Harrison,1
President,Hagelin / Goldhaber,Nominated by Petition,Harrison,7
President,Scattering,,Harrison,6
President,Totals,,Harrison,6543
President,Gore / Lieberman,Democratic,Henry,3907
President,Bush / Cheney,Republican,Henry,4476
President,Browne / Olivier,Libertarian Party of Iowa,Henry,21
President,Nader / Laduke,Iowa Green Party,Henry,183
President,Buchanan / Foster,Reform Party,Henry,46
President,Harris / Trowe,Socialist Workers,Henry,1
President,Phillips / Frazier,Constitution,Henry,1
President,McReynolds / Hollis,Socialist Party USA,Henry,1
President,Hagelin / Goldhaber,Nominated by Petition,Henry,19
President,Scattering,,Henry,16
President,Totals,,Henry,8671
President,Gore / Lieberman,Democratic,Howard,2426
President,Bush / Cheney,Republican,Howard,1922
President,Browne / Olivier,Libertarian Party of Iowa,Howard,3
President,Nader / Laduke,Iowa Green Party,Howard,100
President,Buchanan / Foster,Reform Party,Howard,31
President,Harris / Trowe,Socialist Workers,Howard,0
President,Phillips / Frazier,Constitution,Howard,1
President,McReynolds / Hollis,Socialist Party USA,Howard,0
President,Hagelin / Goldhaber,Nominated by Petition,Howard,3
President,Scattering,,Howard,5
President,Totals,,Howard,4491
President,Gore / Lieberman,Democratic,Humboldt,1949
President,Bush / Cheney,Republican,Humboldt,2846
President,Browne / Olivier,Libertarian Party of Iowa,Humboldt,13
President,Nader / Laduke,Iowa Green Party,Humboldt,100
President,Buchanan / Foster,Reform Party,Humboldt,23
President,Harris / Trowe,Socialist Workers,Humboldt,0
President,Phillips / Frazier,Constitution,Humboldt,0
President,McReynolds / Hollis,Socialist Party USA,Humboldt,0
President,Hagelin / Goldhaber,Nominated by Petition,Humboldt,3
President,Scattering,,Humboldt,6
President,Totals,,Humboldt,4940
President,Gore / Lieberman,Democratic,Ida,1411
President,Bush / Cheney,Republican,Ida,1968
President,Browne / Olivier,Libertarian Party of Iowa,Ida,16
President,Nader / Laduke,Iowa Green Party,Ida,58
President,Buchanan / Foster,Reform Party,Ida,36
President,Harris / Trowe,Socialist Workers,Ida,1
President,Phillips / Frazier,Constitution,Ida,0
President,McReynolds / Hollis,Socialist Party USA,Ida,0
President,Hagelin / Goldhaber,Nominated by Petition,Ida,1
President,Scattering,,Ida,0
President,Totals,,Ida,3491
President,Gore / Lieberman,Democratic,Iowa,3230
President,Bush / Cheney,Republican,Iowa,3894
President,Browne / Olivier,Libertarian Party of Iowa,Iowa,17
President,Nader / Laduke,Iowa Green Party,Iowa,188
President,Buchanan / Foster,Reform Party,Iowa,58
President,Harris / Trowe,Socialist Workers,Iowa,1
President,Phillips / Frazier,Constitution,Iowa,6
President,McReynolds / Hollis,Socialist Party USA,Iowa,1
President,Hagelin / Goldhaber,Nominated by Petition,Iowa,13
President,Scattering,,Iowa,5
President,Totals,,Iowa,7413
President,Gore / Lieberman,Democratic,Jackson,4945
President,Bush / Cheney,Republican,Jackson,3769
President,Browne / Olivier,Libertarian Party of Iowa,Jackson,15
President,Nader / Laduke,Iowa Green Party,Jackson,227
President,Buchanan / Foster,Reform Party,Jackson,51
President,Harris / Trowe,Socialist Workers,Jackson,1
President,Phillips / Frazier,Constitution,Jackson,4
President,McReynolds / Hollis,Socialist Party USA,Jackson,0
President,Hagelin / Goldhaber,Nominated by Petition,Jackson,6
President,Scattering,,Jackson,14
President,Totals,,Jackson,9032
President,Gore / Lieberman,Democratic,Jasper,8699
President,Bush / Cheney,Republican,Jasper,8729
President,Browne / Olivier,Libertarian Party of Iowa,Jasper,40
President,Nader / Laduke,Iowa Green Party,Jasper,267
President,Buchanan / Foster,Reform Party,Jasper,71
President,Harris / Trowe,Socialist Workers,Jasper,1
President,Phillips / Frazier,Constitution,Jasper,7
President,McReynolds / Hollis,Socialist Party USA,Jasper,1
President,Hagelin / Goldhaber,Nominated by Petition,Jasper,14
President,Scattering,,Jasper,6
President,Totals,,Jasper,17835
President,Gore / Lieberman,Democratic,Jefferson,2863
President,Bush / Cheney,Republican,Jefferson,3248
President,Browne / Olivier,Libertarian Party of Iowa,Jefferson,57
President,Nader / Laduke,Iowa Green Party,Jefferson,206
President,Buchanan / Foster,Reform Party,Jefferson,45
President,Harris / Trowe,Socialist Workers,Jefferson,1
President,Phillips / Frazier,Constitution,Jefferson,5
President,McReynolds / Hollis,Socialist Party USA,Jefferson,0
President,Hagelin / Goldhaber,Nominated by Petition,Jefferson,1109
President,Scattering,,Jefferson,14
President,Totals,,Jefferson,7548
President,Gore / Lieberman,Democratic,Johnson,31174
