office,candidate,party,county,votes
President/Vice President,Perot / Campbell,Reform,CEDAR,756
President/Vice President,Nader / Goeke,Green,CEDAR,42
President/Vice President,Dole / Kemp,Republican,CEDAR,2966
President/Vice President,Phillips / Knight Jr.,Taxpayer,CEDAR,2
President/Vice President,Browne / Jorgensen,Libertarian,CEDAR,18
President/Vice President,Harris / Garza,Socialist Workers,CEDAR,1
President/Vice President,Total,,CEDAR,7676
President/Vice President,Scattering,,CEDAR,13
President/Vice President,Hagelin / Tompkins,Natural Law,CEDAR,22
President/Vice President,Clinton / Gore,Democratic,CERRO GORDO,11943
President/Vice President,Perot / Campbell,Reform,CERRO GORDO,1689
President/Vice President,Nader / Goeke,Green,CERRO GORDO,60
President/Vice President,Dole / Kemp,Republican,CERRO GORDO,7427
President/Vice President,Phillips / Knight Jr.,Taxpayer,CERRO GORDO,21
President/Vice President,Browne / Jorgensen,Libertarian,CERRO GORDO,37
President/Vice President,Harris / Garza,Socialist Workers,CERRO GORDO,3
President/Vice President,Total,,CERRO GORDO,21227
President/Vice President,Scattering,,CERRO GORDO,33
President/Vice President,Hagelin / Tompkins,Natural Law,CERRO GORDO,14
President/Vice President,Clinton / Gore,Democratic,CHEROKEE,2853
President/Vice President,Perot / Campbell,Reform,CHEROKEE,834
President/Vice President,Nader / Goeke,Green,CHEROKEE,15
President/Vice President,Dole / Kemp,Republican,CHEROKEE,2629
President/Vice President,Phillips / Knight Jr.,Taxpayer,CHEROKEE,21
President/Vice President,Browne / Jorgensen,Libertarian,CHEROKEE,4
President/Vice President,Harris / Garza,Socialist Workers,CHEROKEE,1
President/Vice President,Total,,CHEROKEE,6370
President/Vice President,Scattering,,CHEROKEE,7
President/Vice President,Hagelin / Tompkins,Natural Law,CHEROKEE,6
President/Vice President,Clinton / Gore,Democratic,CHICKASAW,3355
President/Vice President,Perot / Campbell,Reform,CHICKASAW,759
President/Vice President,Nader / Goeke,Green,CHICKASAW,14
President/Vice President,Dole / Kemp,Republican,CHICKASAW,2191
President/Vice President,Phillips / Knight Jr.,Taxpayer,CHICKASAW,11
President/Vice President,Browne / Jorgensen,Libertarian,CHICKASAW,6
President/Vice President,Harris / Garza,Socialist Workers,CHICKASAW,3
President/Vice President,Total,,CHICKASAW,6360
President/Vice President,Scattering,,CHICKASAW,10
President/Vice President,Hagelin / Tompkins,Natural Law,CHICKASAW,11
President/Vice President,Clinton / Gore,Democratic,CLARKE,2053
President/Vice President,Perot / Campbell,Reform,CLARKE,440
President/Vice President,Nader / Goeke,Green,CLARKE,11
President/Vice President,Dole / Kemp,Republican,CLARKE,1401
President/Vice President,Phillips / Knight Jr.,Taxpayer,CLARKE,2
President/Vice President,Browne / Jorgensen,Libertarian,CLARKE,7
President/Vice President,Harris / Garza,Socialist Workers,CLARKE,1
President/Vice President,Total,,CLARKE,3923
President/Vice President,Scattering,,CLARKE,5
President/Vice President,Hagelin / Tompkins,Natural Law,CLARKE,3
President/Vice President,Clinton / Gore,Democratic,CLAY,3659
President/Vice President,Perot / Campbell,Reform,CLAY,802
President/Vice President,Nader / Goeke,Green,CLAY,20
President/Vice President,Dole / Kemp,Republican,CLAY,3129
President/Vice President,Phillips / Knight Jr.,Taxpayer,CLAY,14
President/Vice President,Browne / Jorgensen,Libertarian,CLAY,20
President/Vice President,Harris / Garza,Socialist Workers,CLAY,2
President/Vice President,Total,,CLAY,7655
President/Vice President,Scattering,,CLAY,1
President/Vice President,Hagelin / Tompkins,Natural Law,CLAY,8
President/Vice President,Clinton / Gore,Democratic,CLAYTON,4284
President/Vice President,Perot / Campbell,Reform,CLAYTON,912
President/Vice President,Nader / Goeke,Green,CLAYTON,32
President/Vice President,Dole / Kemp,Republican,CLAYTON,2944
President/Vice President,Phillips / Knight Jr.,Taxpayer,CLAYTON,12
President/Vice President,Browne / Jorgensen,Libertarian,CLAYTON,7
President/Vice President,Harris / Garza,Socialist Workers,CLAYTON,0
President/Vice President,Total,,CLAYTON,8194
President/Vice President,Scattering,,CLAYTON,0
President/Vice President,Hagelin / Tompkins,Natural Law,CLAYTON,3
President/Vice President,Clinton / Gore,Democratic,CLINTON,11481
President/Vice President,Perot / Campbell,Reform,CLINTON,2300
President/Vice President,Nader / Goeke,Green,CLINTON,77
President/Vice President,Dole / Kemp,Republican,CLINTON,7624
President/Vice President,Phillips / Knight Jr.,Taxpayer,CLINTON,37
President/Vice President,Browne / Jorgensen,Libertarian,CLINTON,36
President/Vice President,Harris / Garza,Socialist Workers,CLINTON,5
President/Vice President,Total,,CLINTON,21595
President/Vice President,Scattering,,CLINTON,3
President/Vice President,Hagelin / Tompkins,Natural Law,CLINTON,32
President/Vice President,Clinton / Gore,Democratic,CRAWFORD,3140
President/Vice President,Perot / Campbell,Reform,CRAWFORD,847
President/Vice President,Nader / Goeke,Green,CRAWFORD,10
President/Vice President,Dole / Kemp,Republican,CRAWFORD,2686
President/Vice President,Phillips / Knight Jr.,Taxpayer,CRAWFORD,8
President/Vice President,Browne / Jorgensen,Libertarian,CRAWFORD,13
President/Vice President,Harris / Garza,Socialist Workers,CRAWFORD,2
President/Vice President,Total,,CRAWFORD,6715
President/Vice President,Scattering,,CRAWFORD,1
President/Vice President,Hagelin / Tompkins,Natural Law,CRAWFORD,8
President/Vice President,Clinton / Gore,Democratic,DALLAS,8017
President/Vice President,Perot / Campbell,Reform,DALLAS,1198
President/Vice President,Nader / Goeke,Green,DALLAS,55
President/Vice President,Dole / Kemp,Republican,DALLAS,6647
President/Vice President,Phillips / Knight Jr.,Taxpayer,DALLAS,25
President/Vice President,Browne / Jorgensen,Libertarian,DALLAS,25
President/Vice President,Harris / Garza,Socialist Workers,DALLAS,4
President/Vice President,Total,,DALLAS,16010
President/Vice President,Scattering,,DALLAS,15
President/Vice President,Hagelin / Tompkins,Natural Law,DALLAS,24
President/Vice President,Clinton / Gore,Democratic,DAVIS,1894
President/Vice President,Perot / Campbell,Reform,DAVIS,382
President/Vice President,Nader / Goeke,Green,DAVIS,10
President/Vice President,Dole / Kemp,Republican,DAVIS,1445
President/Vice President,Phillips / Knight Jr.,Taxpayer,DAVIS,12
President/Vice President,Browne / Jorgensen,Libertarian,DAVIS,5
President/Vice President,Harris / Garza,Socialist Workers,DAVIS,2
President/Vice President,Total,,DAVIS,3759
President/Vice President,Scattering,,DAVIS,1
President/Vice President,Hagelin / Tompkins,Natural Law,DAVIS,8
President/Vice President,Clinton / Gore,Democratic,DECATUR,1846
President/Vice President,Perot / Campbell,Reform,DECATUR,452
President/Vice President,Nader / Goeke,Green,DECATUR,17
President/Vice President,Dole / Kemp,Republican,DECATUR,1287
President/Vice President,Phillips / Knight Jr.,Taxpayer,DECATUR,7
President/Vice President,Browne / Jorgensen,Libertarian,DECATUR,4
President/Vice President,Harris / Garza,Socialist Workers,DECATUR,1
President/Vice President,Total,,DECATUR,3623
President/Vice President,Scattering,,DECATUR,5
President/Vice President,Hagelin / Tompkins,Natural Law,DECATUR,4
President/Vice President,Clinton / Gore,Democratic,DELAWARE,3704
President/Vice President,Perot / Campbell,Reform,DELAWARE,679
President/Vice President,Nader / Goeke,Green,DELAWARE,20
President/Vice President,Dole / Kemp,Republican,DELAWARE,3065
President/Vice President,Phillips / Knight Jr.,Taxpayer,DELAWARE,12
President/Vice President,Browne / Jorgensen,Libertarian,DELAWARE,5
President/Vice President,Harris / Garza,Socialist Workers,DELAWARE,2
President/Vice President,Total,,DELAWARE,7497
President/Vice President,Scattering,,DELAWARE,6
President/Vice President,Hagelin / Tompkins,Natural Law,DELAWARE,4
President/Vice President,Clinton / Gore,Democratic,DES MOINES,10761
President/Vice President,Perot / Campbell,Reform,DES MOINES,1792
President/Vice President,Nader / Goeke,Green,DES MOINES,83
President/Vice President,Dole / Kemp,Republican,DES MOINES,5778
President/Vice President,Phillips / Knight Jr.,Taxpayer,DES MOINES,78
President/Vice President,Browne / Jorgensen,Libertarian,DES MOINES,36
President/Vice President,Harris / Garza,Socialist Workers,DES MOINES,9
President/Vice President,Total,,DES MOINES,18574
President/Vice President,Scattering,,DES MOINES,6
President/Vice President,Hagelin / Tompkins,Natural Law,DES MOINES,31
President/Vice President,Clinton / Gore,Democratic,DICKINSON,3562
President/Vice President,Perot / Campbell,Reform,DICKINSON,901
President/Vice President,Nader / Goeke,Green,DICKINSON,23
President/Vice President,Dole / Kemp,Republican,DICKINSON,3129
President/Vice President,Phillips / Knight Jr.,Taxpayer,DICKINSON,3
President/Vice President,Browne / Jorgensen,Libertarian,DICKINSON,11
President/Vice President,Harris / Garza,Socialist Workers,DICKINSON,0
President/Vice President,Total,,DICKINSON,7646
President/Vice President,Scattering,,DICKINSON,7
President/Vice President,Hagelin / Tompkins,Natural Law,DICKINSON,10
President/Vice President,Clinton / Gore,Democratic,DUBUQUE,20839
President/Vice President,Perot / Campbell,Reform,DUBUQUE,3304
President/Vice President,Nader / Goeke,Green,DUBUQUE,254
President/Vice President,Dole / Kemp,Republican,DUBUQUE,13391
President/Vice President,Phillips / Knight Jr.,Taxpayer,DUBUQUE,51
President/Vice President,Browne / Jorgensen,Libertarian,DUBUQUE,90
President/Vice President,Harris / Garza,Socialist Workers,DUBUQUE,7
President/Vice President,Total,,DUBUQUE,38051
President/Vice President,Scattering,,DUBUQUE,49
President/Vice President,Hagelin / Tompkins,Natural Law,DUBUQUE,66
President/Vice President,Clinton / Gore,Democratic,EMMET,2270
President/Vice President,Perot / Campbell,Reform,EMMET,470
President/Vice President,Nader / Goeke,Green,EMMET,11
President/Vice President,Dole / Kemp,Republican,EMMET,1641
President/Vice President,Phillips / Knight Jr.,Taxpayer,EMMET,4
President/Vice President,Browne / Jorgensen,Libertarian,EMMET,3
President/Vice President,Harris / Garza,Socialist Workers,EMMET,0
President/Vice President,Total,,EMMET,4411
President/Vice President,Scattering,,EMMET,4
President/Vice President,Hagelin / Tompkins,Natural Law,EMMET,8
President/Vice President,Clinton / Gore,Democratic,FAYETTE,4832
President/Vice President,Perot / Campbell,Reform,FAYETTE,890
President/Vice President,Nader / Goeke,Green,FAYETTE,17
President/Vice President,Dole / Kemp,Republican,FAYETTE,3848
President/Vice President,Phillips / Knight Jr.,Taxpayer,FAYETTE,12
President/Vice President,Browne / Jorgensen,Libertarian,FAYETTE,10
President/Vice President,Harris / Garza,Socialist Workers,FAYETTE,2
President/Vice President,Total,,FAYETTE,9624
President/Vice President,Scattering,,FAYETTE,4
President/Vice President,Hagelin / Tompkins,Natural Law,FAYETTE,9
President/Vice President,Clinton / Gore,Democratic,FLOYD,3769
President/Vice President,Perot / Campbell,Reform,FLOYD,689
President/Vice President,Nader / Goeke,Green,FLOYD,15
President/Vice President,Dole / Kemp,Republican,FLOYD,2379
President/Vice President,Phillips / Knight Jr.,Taxpayer,FLOYD,5
President/Vice President,Browne / Jorgensen,Libertarian,FLOYD,7
President/Vice President,Harris / Garza,Socialist Workers,FLOYD,1
President/Vice President,Total,,FLOYD,6887
President/Vice President,Scattering,,FLOYD,7
President/Vice President,Hagelin / Tompkins,Natural Law,FLOYD,15
President/Vice President,Clinton / Gore,Democratic,FRANKLIN,2232
President/Vice President,Perot / Campbell,Reform,FRANKLIN,417
President/Vice President,Nader / Goeke,Green,FRANKLIN,14
President/Vice President,Dole / Kemp,Republican,FRANKLIN,2054
President/Vice President,Phillips / Knight Jr.,Taxpayer,FRANKLIN,3
President/Vice President,Browne / Jorgensen,Libertarian,FRANKLIN,4
President/Vice President,Harris / Garza,Socialist Workers,FRANKLIN,0
President/Vice President,Total,,FRANKLIN,4733
President/Vice President,Scattering,,FRANKLIN,4
President/Vice President,Hagelin / Tompkins,Natural Law,FRANKLIN,5
President/Vice President,Clinton / Gore,Democratic,FREMONT,1481
President/Vice President,Perot / Campbell,Reform,FREMONT,480
President/Vice President,Nader / Goeke,Green,FREMONT,3
President/Vice President,Dole / Kemp,Republican,FREMONT,1576
President/Vice President,Phillips / Knight Jr.,Taxpayer,FREMONT,7
President/Vice President,Browne / Jorgensen,Libertarian,FREMONT,5
President/Vice President,Harris / Garza,Socialist Workers,FREMONT,0
President/Vice President,Total,,FREMONT,3562
President/Vice President,Scattering,,FREMONT,4
President/Vice President,Hagelin / Tompkins,Natural Law,FREMONT,6
President/Vice President,Clinton / Gore,Democratic,GREENE,2519
President/Vice President,Perot / Campbell,Reform,GREENE,396
President/Vice President,Nader / Goeke,Green,GREENE,9
President/Vice President,Dole / Kemp,Republican,GREENE,1861
President/Vice President,Phillips / Knight Jr.,Taxpayer,GREENE,7
President/Vice President,Browne / Jorgensen,Libertarian,GREENE,3
President/Vice President,Harris / Garza,Socialist Workers,GREENE,0
President/Vice President,Total,,GREENE,4799
President/Vice President,Scattering,,GREENE,3
President/Vice President,Hagelin / Tompkins,Natural Law,GREENE,1
President/Vice President,Clinton / Gore,Democratic,GRUNDY,2322
President/Vice President,Perot / Campbell,Reform,GRUNDY,401
President/Vice President,Nader / Goeke,Green,GRUNDY,11
President/Vice President,Dole / Kemp,Republican,GRUNDY,2928
President/Vice President,Phillips / Knight Jr.,Taxpayer,GRUNDY,10
President/Vice President,Browne / Jorgensen,Libertarian,GRUNDY,6
President/Vice President,Harris / Garza,Socialist Workers,GRUNDY,1
President/Vice President,Total,,GRUNDY,5687
President/Vice President,Scattering,,GRUNDY,5
President/Vice President,Hagelin / Tompkins,Natural Law,GRUNDY,3
President/Vice President,Clinton / Gore,Democratic,GUTHRIE,2552
President/Vice President,Perot / Campbell,Reform,GUTHRIE,515
President/Vice President,Nader / Goeke,Green,GUTHRIE,11
President/Vice President,Dole / Kemp,Republican,GUTHRIE,2034
President/Vice President,Phillips / Knight Jr.,Taxpayer,GUTHRIE,9
President/Vice President,Browne / Jorgensen,Libertarian,GUTHRIE,9
President/Vice President,Harris / Garza,Socialist Workers,GUTHRIE,1
President/Vice President,Total,,GUTHRIE,5140
President/Vice President,Scattering,,GUTHRIE,5
President/Vice President,Hagelin / Tompkins,Natural Law,GUTHRIE,4
President/Vice President,Clinton / Gore,Democratic,HAMILTON,3455
President/Vice President,Perot / Campbell,Reform,HAMILTON,661
President/Vice President,Nader / Goeke,Green,HAMILTON,23
President/Vice President,Dole / Kemp,Republican,HAMILTON,3109
President/Vice President,Phillips / Knight Jr.,Taxpayer,HAMILTON,7
President/Vice President,Browne / Jorgensen,Libertarian,HAMILTON,4
President/Vice President,Harris / Garza,Socialist Workers,HAMILTON,1
President/Vice President,Total,,HAMILTON,7277
President/Vice President,Scattering,,HAMILTON,10
President/Vice President,Hagelin / Tompkins,Natural Law,HAMILTON,7
President/Vice President,Clinton / Gore,Democratic,HANCOCK,2399
President/Vice President,Perot / Campbell,Reform,HANCOCK,529
President/Vice President,Nader / Goeke,Green,HANCOCK,11
President/Vice President,Dole / Kemp,Republican,HANCOCK,2353
President/Vice President,Phillips / Knight Jr.,Taxpayer,HANCOCK,3
President/Vice President,Browne / Jorgensen,Libertarian,HANCOCK,4
President/Vice President,Harris / Garza,Socialist Workers,HANCOCK,2
President/Vice President,Total,,HANCOCK,5309
President/Vice President,Scattering,,HANCOCK,2
President/Vice President,Hagelin / Tompkins,Natural Law,HANCOCK,6
President/Vice President,Clinton / Gore,Democratic,HARDIN,4053
President/Vice President,Perot / Campbell,Reform,HARDIN,713
President/Vice President,Nader / Goeke,Green,HARDIN,25
President/Vice President,Dole / Kemp,Republican,HARDIN,3505
President/Vice President,Phillips / Knight Jr.,Taxpayer,HARDIN,4
President/Vice President,Browne / Jorgensen,Libertarian,HARDIN,13
President/Vice President,Harris / Garza,Socialist Workers,HARDIN,0
President/Vice President,Total,,HARDIN,8324
President/Vice President,Scattering,,HARDIN,6
President/Vice President,Hagelin / Tompkins,Natural Law,HARDIN,5
President/Vice President,Clinton / Gore,Democratic,HARRISON,2576
President/Vice President,Perot / Campbell,Reform,HARRISON,820
President/Vice President,Nader / Goeke,Green,HARRISON,10
President/Vice President,Dole / Kemp,Republican,HARRISON,3070
President/Vice President,Phillips / Knight Jr.,Taxpayer,HARRISON,19
President/Vice President,Browne / Jorgensen,Libertarian,HARRISON,14
President/Vice President,Harris / Garza,Socialist Workers,HARRISON,0
President/Vice President,Total,,HARRISON,6527
President/Vice President,Scattering,,HARRISON,4
President/Vice President,Hagelin / Tompkins,Natural Law,HARRISON,14
President/Vice President,Clinton / Gore,Democratic,HENRY,3798
President/Vice President,Perot / Campbell,Reform,HENRY,914
President/Vice President,Nader / Goeke,Green,HENRY,23
President/Vice President,Dole / Kemp,Republican,HENRY,3478
President/Vice President,Phillips / Knight Jr.,Taxpayer,HENRY,10
President/Vice President,Browne / Jorgensen,Libertarian,HENRY,18
President/Vice President,Harris / Garza,Socialist Workers,HENRY,2
President/Vice President,Total,,HENRY,8275
President/Vice President,Scattering,,HENRY,8
President/Vice President,Hagelin / Tompkins,Natural Law,HENRY,24
President/Vice President,Clinton / Gore,Democratic,HOWARD,2303
President/Vice President,Perot / Campbell,Reform,HOWARD,555
President/Vice President,Nader / Goeke,Green,HOWARD,3
President/Vice President,Dole / Kemp,Republican,HOWARD,1528
President/Vice President,Phillips / Knight Jr.,Taxpayer,HOWARD,6
President/Vice President,Browne / Jorgensen,Libertarian,HOWARD,5
President/Vice President,Harris / Garza,Socialist Workers,HOWARD,1
President/Vice President,Total,,HOWARD,4405
President/Vice President,Scattering,,HOWARD,2
President/Vice President,Hagelin / Tompkins,Natural Law,HOWARD,2
President/Vice President,Clinton / Gore,Democratic,HUMBOLDT,2080
President/Vice President,Perot / Campbell,Reform,HUMBOLDT,590
President/Vice President,Nader / Goeke,Green,HUMBOLDT,9
President/Vice President,Dole / Kemp,Republican,HUMBOLDT,2236
President/Vice President,Phillips / Knight Jr.,Taxpayer,HUMBOLDT,5
President/Vice President,Browne / Jorgensen,Libertarian,HUMBOLDT,3
President/Vice President,Harris / Garza,Socialist Workers,HUMBOLDT,0
President/Vice President,Total,,HUMBOLDT,4933
President/Vice President,Scattering,,HUMBOLDT,6
President/Vice President,Hagelin / Tompkins,Natural Law,HUMBOLDT,4
President/Vice President,Clinton / Gore,Democratic,IDA,1589
President/Vice President,Perot / Campbell,Reform,IDA,436
President/Vice President,Nader / Goeke,Green,IDA,6
President/Vice President,Dole / Kemp,Republican,IDA,1684
President/Vice President,Phillips / Knight Jr.,Taxpayer,IDA,6
President/Vice President,Browne / Jorgensen,Libertarian,IDA,3
President/Vice President,Harris / Garza,Socialist Workers,IDA,3
President/Vice President,Total,,IDA,3732
President/Vice President,Scattering,,IDA,5
President/Vice President,Hagelin / Tompkins,Natural Law,IDA,0
President/Vice President,Clinton / Gore,Democratic,IOWA,3354
President/Vice President,Perot / Campbell,Reform,IOWA,575
President/Vice President,Nader / Goeke,Green,IOWA,24
President/Vice President,Dole / Kemp,Republican,IOWA,3042
President/Vice President,Phillips / Knight Jr.,Taxpayer,IOWA,12
President/Vice President,Browne / Jorgensen,Libertarian,IOWA,12
President/Vice President,Harris / Garza,Socialist Workers,IOWA,1
